Name,Start date of trip,Duration of Visit (Days),Destination,Purpose of trip,Mode of transport,Class of travel,Accomodation/Meals,Other (including hospitality given),"Total cost, including all visas, accommodation, travel, meals etc. ()",Total Cost of Use of Official Secure Car,Booked through
"Lloyd, Ms. Myrtle",13/12/2016,,ZONE U1* LONDN,INTERNAL MEETING,Rail,Standard,,,129.00,,Redfern
"Montgomery, Sir Charles Percival",13/12/2016,,,Tube from London City Airport (visit to BF counterparts in Rotterdam) back to 2 Marsham Street,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,2.80,,
"Montgomery, Sir Charles Percival",13/12/2016,,London City,External Meeting,Air Tickets,Economy,,,95.56,,Redfern
"Montgomery, Sir Charles Percival",13/12/2016,,,,Baggage,,,,6.00,,Redfern
"Oppenheim, Mr. Jeremy",13/12/2016,,,breakfast with Nicholas Fox KPMG to discuss forthcoming HO/KPMG U collaborative event on vulnerability,"Canteens, Lunches, Vending",,,,45.56,,
"Riach, Ms. Shona",13/12/2016,,,Taxi from hotel to Europol,Taxis,,,,10.91,,
"Riach, Ms. Shona",13/12/2016,,,Train ticket to airport,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,7.55,,
"Riach, Ms. Shona",13/12/2016,,,Train ticket,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,10.15,,
"Sutton, Mr. Kenneth David",13/12/2016,,London Zones 1-6,External Meeting,Rail,Standard,,,17.70,,Redfern
"Tribe, Mr. Lee Kelvin",13/12/2016,,Bristol Temple Meads,External Meeting,Rail,Standard,,,127.50,,Redfern
"Arnott, Dr. Robert Henry",14/12/2016,,,ASLEF strike - only way of attending work,T&S - Hotels,,,,100.00,,
"Eastaugh, Mr. Tony",14/12/2016,,London Heathrow,External Meeting,,,Hotel Room,,167.60,,Redfern
"Hayes, Mr. Simon Thomas",14/12/2016,,,Meal at Leopold Hotel,"T&S - Planes, Trains and Automobiles",,,,51.00,,
"Hayes, Mr. Simon Thomas",14/12/2016,,,Oyster fare to train station,"T&S - Planes, Trains and Automobiles",,,,2.40,,
"Hayes, Mr. Simon Thomas",14/12/2016,,,Dinner for 3 SCS,"T&S - Planes, Trains and Automobiles",,,,51.00,,
"Hayes, Mr. Simon Thomas",14/12/2016,,Doncaster/Sheffield,External Meeting,,,Hotel Room,,75.60,,Redfern
"Hayes, Mr. Simon Thomas",14/12/2016,,Sheffield,External Meeting,Rail,Standard,,,86.00,,Redfern
"Lloyd, Ms. Myrtle",14/12/2016,,,Overnight stay in Glasgow.  Dinner.,T&S - Subsistence,,,,26.00,,
"Lloyd, Ms. Myrtle",14/12/2016,,,Taxi from home to railway station.  No suitable public transport and No Parking spaces in car park.,Taxis,,,,7.50,,
"Lloyd, Ms. Myrtle",14/12/2016,,,Taxi from Glasgow Central to Glasgow APC,Taxis,,,,6.40,,
"Lloyd, Ms. Myrtle",14/12/2016,,,Left home at 6:30,T&S - Subsistence,,,,4.25,,
"Lloyd, Ms. Myrtle",14/12/2016,,Glasgow,INTERNAL MEETING,,,Hotel Room,,75.60,,Redfern
"Lloyd, Ms. Myrtle",14/12/2016,,Glasgow Central,INTERNAL MEETING,Rail,Standard,,,183.00,,Redfern
"Morrison, Mr. Paul Noble Wilson",14/12/2016,,,Taxi from airport to hotel,T&S - Overseas Expenses,,,,25.00,,
"Morrison, Mr. Paul Noble Wilson",14/12/2016,,,train to airport in uk,T&S - Overseas Expenses,Standard/Economy,,,22.00,,
"Morrison, Mr. Paul Noble Wilson",14/12/2016,,,this was the cost of the venue accomodation,T&S - Overseas Expenses,,,,167.58,,
"Morrison, Mr. Paul Noble Wilson",14/12/2016,,Ottawa,External Meeting,Air Tickets,Economy,,,"1,161.85",,Redfern
"Oppenheim, Mr. Jeremy",14/12/2016,,,trvel from 2MS to DCMS for Ministerial meeting to discuss child sexual abuse in sport.,Taxis,,,,19.10,,
"Oppenheim, Mr. Jeremy",14/12/2016,,,travel from DCMS to HO following Ministerial meeting.,Taxis,,,,18.92,,
"Sutton, Mr. Kenneth David",14/12/2016,,London Zones 1-4,External Meeting,Rail,Standard,,,12.60,,Redfern
"Williams, Ms. Wendy",14/12/2016,,Birmingham New St,External Meeting,Rail,Standard,,,25.00,,Redfern
"Arnott, Dr. Robert Henry",15/12/2016,,,ASLEF strike - only way of attending work,T&S - Hotels,,,,125.00,,
"Eastaugh, Mr. Tony",15/12/2016,,,External Meeting,Billback Fee,,,,0.60,,Redfern
"Lloyd, Ms. Myrtle",15/12/2016,,,Taxi from Glasgow APC to Glasgow Central,Taxis,,,,3.30,,
"Lloyd, Ms. Myrtle",15/12/2016,,,Taxi from Chester Station to home.  No suitable public transport.,Taxis,,,,8.00,,
"Lloyd, Ms. Myrtle",15/12/2016,,Chester,INTERNAL MEETING,Rail,Standard,,,93.00,,Redfern
"Morrison, Mr. Paul Noble Wilson",15/12/2016,,,travel to conference,T&S - Overseas Expenses,,,,25.00,,
"Morrison, Mr. Paul Noble Wilson",15/12/2016,,,travel from hotel to airport,T&S - Overseas Expenses,,,,25.00,,
"Thomson, Mr. Mark David",15/12/2016,,,Oyster ticket for Zone 1 tube travel,"T&S - Planes, Trains and Automobiles",,,,4.80,,
"Williams, Mr. Glyn",15/12/2016,,,Taxi to and from home to Heathrow - early start and late finish and taxis in Belfast,T&S - Overseas Expenses,,,,98.00,,
"Williams, Mr. Glyn",15/12/2016,,Belfast City,External Meeting,Air Tickets,Economy,,,294.64,,Redfern
"Williams, Ms. Wendy",15/12/2016,,Birmingham,External Meeting,,,Hotel Standard- One- Double,,85.60,,Redfern
"Williams, Ms. Wendy",15/12/2016,,Birmingham New St,External Meeting,Rail,Standard,,,56.00,,Redfern
"Williams, Ms. Wendy",15/12/2016,,Newcastle,External Meeting,Rail,Standard,,,11.00,,Redfern
"Williams, Mr. Glyn",15/12/2016,,,Business Trip,T&S - Subsistence,,,,9.30,,
"Arnott, Dr. Robert Henry",16/12/2016,,,ASLEF strike - only way of attending work,T&S - Hotels,,,,92.00,,
"Clarke, Mr. Richard William John",16/12/2016,,,travel from airport,Taxis,,,,70.00,,
"Clarke, Mr. Richard William John",16/12/2016,,,Travel to Geneva to meet international delegation,Miscellaneous,,,,603.61,,
"Morrison, Mr. Paul Noble Wilson",16/12/2016,,,return from airport,T&S - Overseas Expenses,Standard/Economy,,,22.00,,
"Thomson, Mr. Mark David",16/12/2016,,,Urgent travel to attend 9.30 EMB meeting,Taxis,,,,45.00,,
"Tribe, Mr. Lee Kelvin",16/12/2016,,Reading Station,External Meeting,Rail,Standard,,,45.80,,Redfern
"Williams, Ms. Wendy",16/12/2016,,Newcastle,External Meeting,Rail,Standard,,,52.00,,Redfern
"Williams, Ms. Wendy",19/12/2016,,Bristol,External Meeting,Web Transaction,Economy,,,40.79,,Redfern
"Lloyd, Ms. Myrtle",20/12/2016,,,Taxi from home to railway station. No suitable public transport.,Taxis,,,,8.00,,
"Lloyd, Ms. Myrtle",20/12/2016,,,Taxi from Chester station to home.  No suitable public transport. Longer route due to road works.,Taxis,,,,9.40,,
"Lloyd, Ms. Myrtle",20/12/2016,,,"Left home early, breakfast on train.",T&S - Subsistence,,,,4.25,,
"Lloyd, Ms. Myrtle",20/12/2016,,Birmingham New St,External Meeting,Rail,Standard,,,75.80,,Redfern
"Tribe, Mr. Lee Kelvin",20/12/2016,,,I've checked and reclaim is in line with policy (Lesley Dec 16). Fellowship level.,Miscellaneous,,,,216.00,,
"Cunningham, Mr. Michael Bernard",21/12/2016,,London Euston,External Meeting,Rail,Standard,,,291.00,,Redfern
"Cunningham, Mr. Michael Bernard",21/12/2016,,Preston,External Meeting,Rail,Standard,,,173.00,,Redfern
"Ind, Mr. Hugh Timothy",21/12/2016,,,Working Lunch for IE Senior Leadership Team Meeting,Miscellaneous,,,,74.90,,
"Williams, Mr. Glyn",21/12/2016,,,"Taxi from home to Heathrow, very early start and Heathrow Express back",T&S - Overseas Expenses,,,,67.00,,
"Williams, Mr. Glyn",21/12/2016,,Dublin,External Meeting,Air Tickets,Business,,,266.05,,Redfern
"Williams, Mr. Glyn",21/12/2016,,London Heathrow,External Meeting,Air Tickets,Economy,,,145.10,,Redfern
"Williams, Ms. Wendy",21/12/2016,,Newcastle,External Meeting,Rail,Standard,,,140.00,,Redfern
"Williams, Mr. Glyn",21/12/2016,,,Business Trip,T&S - Subsistence,,,,9.30,,
"Duffy, Mr. Philip",22/12/2016,,,Vist to Coventry Postal HUb,"T&S - Planes, Trains and Automobiles",Standard/Economy,,,98.80,,
"Sutton, Mr. Kenneth David",22/12/2016,,Folkestone Central,External Meeting,Rail,Standard,,,40.20,,Redfern
"Williams, Ms. Wendy",22/12/2016,,Newcastle,External Meeting,Rail,Standard,,,65.00,,Redfern
"Riach, Ms. Shona",28/12/2016,,,Travel to HPDS Ditchley Park Roundtable,Taxis,,,,14.20,,
"Oppenheim, Mr. Jeremy",31/12/2016,,,Annual subscription to Enterprise Car Club,"T&S - Planes, Trains and Automobiles",,,,30.00,,
