Ratepayer,Property Reference,Property Address,Billing Address,RV,Net Debit ,Liability Start Date
,69428700,"Cross Keys Inn, Whitegate, Siddal, Halifax             HX3 9AE",,2500,0,11/30/12
Martins Mill Packaging Ltd,68136702,"Unit 4A Ladyship Business Pk, Mill Lane, Halifax, HX3 6TA","Unit 4A Ladyship Business Park, Mill Lane, Halifax, HX3 6TA",11750,5452.52,01/01/13
,78508017,"17 Water Street, Todmorden, OL14 5AB",,4950,0,11/01/11
Units To Let [Northern] Ltd,77690716,"Unit 29B First Floor, Asquith Bottom Works, Water Street, Sowerby Bridge       HX6 3BS","Hartford Trading Estate, Suthers Street, Oldham, OL9 7TQ",2275,0,04/01/12
Centre At Threeways,68104709,"Centre At Threeways, Nursery Lane, Ovenden, Halifax              HX3 5SX",,5400,536.76,07/15/12
,29284720,"Blue Portacabin, Grove Street, Brighouse, HD6 1PL",,1550,0,12/22/12
,77648746,"Unit 22 Sdh Industrial Est, West Street, Sowerby Bridge, HX6 3BS",,1475,0,12/23/10
,76384702,"Practice Room Ground Floor, The Vicarage, Mytholm, Hebden Bridge        HX7 6DL",,910,0,04/01/12
Town Hall Dental Ltd,29576716,"Ground Floor & Part Basement, Old Town Hall, Thornton Square, Brighouse            HD6 1EA","Thornton Square, Brighouse, HD6 1ED",6200,3000.8,11/05/12
Calder Commercial Kitchens Ltd,76160730,"Unit 10A, Topland Country Busn.Pk, Cragg Road, Mytholmroyd",,4550,0,06/01/13
,78400102,"102 Rochdale Road, Todmorden, OL14 7LP",,1800,0,05/24/13
,29124707,"Opp Victoria Works, Calder Street, Brighouse, HD6 1LZ",,4850,0,09/29/12
Bank Machine Ltd,68452713,"Atm Salterhebble Garage, Salterhebble Hill, Halifax, HX3 0QB","C/O Gerald Eve Llp, 35 Kings Hill Avenue, West Malling, Kent, ME19 4DN",11250,5445,04/01/13
,68168045,"45 Oxford Lane, Siddal, Halifax, HX3 9BJ",,5900,0,07/08/13
Jamie Bell Physiotherapist Ltd,64788726,"Office Suites D41 & 43, Dean Clough Office Park, Halifax, HX3 5AX","217 Bingley Road, Saltaire, Bradford, BD18 4DH",4200,2032.8,07/01/13
Royal London Mutual Insurance Society Ltd,64572703,"Church St Filling Station, Church Street, Halifax, HX1 1QY","C/O Capita Fao C Grose, 65 Gresham Street, London, EC2V 7NQ",3000,1491,05/31/13
,65516230,"230 King Cross Road, Halifax, HX1 3JP",,4800,0,09/01/13
The Anchormen Drum & Bugle Corps,56072714,"Anchormen Drum & Bugle Corps, Savage Hall, Eastgate, Elland               HX5 9DQ","C/O Mrs J Milton, 20 Waterhill Lane, Friendly, Sowerby Bridge, HX6 2UA",9400,373.74,07/01/13
Calderdale Mbc Markets Manager,78068704,"Stalls 6/7 Market Hall, Brook Street, Todmorden, OL14 5AJ","19 Albion Street, Halifax, HX1 1DU",2950,1466.15,09/29/13
Mobile Broadband Network Ltd,64376749,"T Mobile (53278), Southedge Works, Brighouse Road, Hipperholme          HX3 8EF","Po Box 6079, Wolverhampton, WV1 9RA",8400,4065.6,04/01/10
,56132776,"64 Huddersfield Road, Elland, HX5 9AA",,3750,0,10/12/13
Lambert Print And Design Ltd,76244736,"Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD","Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",6800,438.82,12/01/12
,29084742,"633b Bradford Road, Bailiff Bridge, Brighouse, HD6 4DN",,3100,0,10/12/13
Bestmed On Line Ltd,29236748,"Office No. T07, 1ST Floor Cromwell House, Elland Road, Brighouse            HD6 2RG",,1850,0,10/01/13
Adventure Spec Ltd,76160813,"Units 3 & 6, Cragg Road Works, Cragg Road, Mytholmroyd          HX7 5EY","Unit 3 Cragg Road Works, Cragg Road, Mytholmroyd, Hebden Bridge, HX7 5EY",8100,1372.22,06/01/13
Pennine Wind Turbines Ltd,78192822,"Unit A Wood Mill, Halifax Road, Todmorden, OL14 6EE","Unit A Wood Mill, Halifax Road, Todmorden, OL14 6EE",6000,0,06/01/13
Calderdale Mbc,68252793,"1 The Colonnade, Piece Hall, Halifax, HX1 1RE","Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",2500,0,03/01/13
Guardian Security Services (Ne) Ltd,64628833,"Unit 16A, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Unit 16a, Calderdale Business Park, Club Lane, Halifax, HX2 8DB",1175,0,01/07/13
,29456704,"2 Park Row, Brighouse, HD6 1AB",,11500,5101.74,11/02/13
Rise & Lower Ltd,69360761,"Unit 2A, West Parade, Halifax, HX1 2TE","Unit 2a, West Parade, Halifax, HX1 2TE",1750,0,09/24/12
Active Human Ltd,76156726,"Unit 1B, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU","Unit 1B, Topland Country Business Pk, Burnley Road, Mytholmroyd, HX7 5RU",5400,0,03/01/13
,29100715,"100A Briggate, Brighouse, HD6 1EL",,2750,0,11/14/13
,69144713,"Ground Floor, 26 Union Street, Halifax, HX1 1PR",,7300,765.57,04/18/11
,64172003,"3 Batley Street, Lee Mount, Halifax, HX3 5DG",,2050,992.2,04/15/11
Sugden Precision Engineers Ltd,77184700,"Denby Place, Sowerby Bridge, HX6 2ER","Denby Place, Sowerby Bridge, HX6 2ER",4850,0,02/01/14
Replicar Ltd,64788812,"Office Suite D 23, Dean Clough Mills, Halifax, HX3 5AX",,2500,0,01/10/14
Energy Renovation Systems Ltd,29084783,"Unit 6 Branxholme Estate, Bradford Road, Bailiff Bridge, Brighouse            HD6 4EA",,7600,980.92,11/25/13
,64344701,"7 Branch Road, Barkisland, Halifax, HX4 8NU",,5300,0,08/25/11
,68640711,"Unit 4, South Street, Halifax, HX1 2EL",,980,0,11/04/11
,64832701,"2 Dodge Holme Drive, Mixenden, Halifax, HX2 8PE",,2450,0,10/09/11
Sunbridge Road Investments Ltd,65516773,"217 King Cross Road, Halifax, HX1 3JL","217 King Cross Road, Halifax, HX1 3JL",8000,3872,07/02/11
,68236032,"32 Pellon Lane, Halifax, HX1 5SP",,390,0,05/21/12
Ryecorn Wholefoods Ltd,29048033,"33 Bethel Street, Brighouse, HD6 1JR","33 Bethel Street, Brighouse, HD6 1JR",8100,1372.22,08/19/11
Mobile Broadband Network Ltd,65264794,"T Mobile (77765), Ryburne Mill, Hanson Lane, Halifax              HX1 4SD","Po Box 6079, Wolverhampton, WV1 9RA",8400,4065.6,07/27/10
,78192765,"61a/63 Halifax Road, Todmorden, OL14 5BB",,2550,0,01/02/14
Golden Anderson Uk Ltd,29052721,"Johnstone House, Birds Royd Lane, Brighouse, HD6 1LQ","Po Box 5, Brighouse, HD6 3UD",10750,5203,02/11/14
,76508017,"17 St Georges Square, Hebden Bridge, HX7 8ET",,7400,0,02/07/14
Face To Face Estate Agents Ltd,78400025,"25 Rochdale Road, Todmorden, OL14 5AA","49/51 Church Street, Littleborough, Lancs, OL14 8AB",3150,1524.6,12/01/13
,76604050,"Triangle Cottage, 50 Wood End, Hebden Bridge, HX7 8HJ",,1500,0,10/23/13
Northgate Fabrications Ltd,56220721,"Unit 1 Woodman Works, South Lane, Elland, HX5 0PA","16 Bracken Way, Elland, HX5 9QH",4650,0,12/23/13
,78192755,"Rope And Anchor Inn, 132 Halifax Road, Todmorden, OL14 5QR",,7900,1210.78,04/01/12
A F Connell Ltd,68772701,"2 Alfred Street, Greetland, Halifax, HX4 8LT",,4400,2129.6,04/02/12
,64288033,"33 Borough Market, Halifax, HX1 1DY",,3850,0,12/05/11
,56220813,"Unit 9C, Woodman Works, South Lane, Elland               HX5 0PA",,5100,0,12/01/11
Incredible Edible Growing Ltd,78124701,"Land Adj Light Bank Lock, Deanroyd Road, Walsden, Todmorden           OL14 6TT","Grumpy's Mill, Blind Lane, Todmorden, OL14 5HZ",5600,0,06/01/13
Kindus Solutions Ltd,76500749,"Unit 25 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY","Unit 25, The Town Hall, St Georges Street, Hebden Bridge, HX7 7BY",2175,0,02/24/14
Calderdale Mbc Land & Property Services,68252718,"66 Rustic, Piece Hall, Halifax, HX1 1RE","Northgate House, Northgate, Halifax, HX1 1UN",1700,0,01/15/14
Binks Vertical Ltd,29344735,"Calderbank House, 23 Huddersfield Road, Brighouse, HD6 1LE","Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",4200,2087.4,04/01/14
,77188701,"Marine Garage, East Parade, Sowerby Bridge, HX6 2BH",,3750,0,03/05/12
West Riding Classic Cars Limited,64356707,"Unit 16, Lower Brearley Mill, Luddendenfoot, Halifax             HX2 6HU",,7400,835.66,08/01/12
Card City Retail Ltd,65524017,"17 King Edward Street, Halifax, HX1 1BW","21 Netherlands Square, Low Moor, Bradford, BD12 0TD",9400,2577.67,08/24/12
Calderdale Mbc Markets Manager,64288818,"Market Stall 108-109, Market Hall, Borough Market, Halifax              HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",4000,0,05/27/12
The Luminar Group Ltd,65100707,"Adjacent Coliseum, Fountain Street, Halifax, HX1 2AB","Fao Alan Measom, Luminar House, Deltic Avenue, Rooksley, Milton Keynes, MK13 8LW",1325,641.3,12/10/11
Binks Executive Homes Ltd,29636708,"First Floor, Low Mill, Wharf Street, Brighouse            HD6 1PP","Nook Farm, Haigh Moor Road, West Ardsley, Wakefield, WF3 1ED",1300,0,03/29/12
,69094002,"2 Trinity Place, Halifax, HX1 2BD",,8200,0,04/01/14
D J P Leisure Ltd,78040710,"Weavers Arms, 5 Blind Lane, Todmorden, OL14 5HZ",,3600,0,04/28/14
,78444703,"Stansfield Road, Todmorden, OL14 5DL",,1950,0,11/17/12
,76648758,"Unit 27 Sdh Ind Estate, West Street, Sowerby Bridge, HX6 3BS",,3950,0,06/08/12
,29088111,"111 Bramston Street, Brighouse, HD6 3AQ",,2325,0,01/11/13
Dean Clough Foundation,64788831,"Office Suite D32, Dean Clough Mills, Halifax, HX3 5AX","Attn Ruth Robinson, Office Suite D182, Dean Clough, Halifax, HX3 5AX",2650,263.41,03/01/13
,64052003,"3 Albion Street, Halifax, HX1 1DU",,3650,0,03/01/13
Calderdale Mbc Children & Young People's Services,29116700,"Community Centre, Burnsall Road, Rastrick, Brighouse           HD6 3JT","Fao Paul Ward Finance Manager, 3rd Floor, Westgate House, Halifax, HX1 1PS",5500,2733.5,12/14/11
Viewstone Ltd,56220792,"Office 9, James Street Mills, South Lane, Elland               HX5 0HB","Pellon Lane Saw Mills, Pellon Lane, Pellon, Halifax, HX1 4PX",2125,1028.5,01/21/12
Viewstone Ltd,56220797,"Office 10 James Street Mills, South Lane, Elland, HX5 0HB","Pellon Lane Saw Mills, Pellon Lane, Pellon, Halifax, HX1 4PX",3300,1597.2,01/21/12
,29052719,"Part Ground & Lower Floor, Royd House, Birds Royd Lane, Brighouse           HD6 1LQ",,11000,5467,04/01/12
Niko (Int) Ltd,65164871,"Hamnett House, Gibbet Street, Halifax, HX2 0AX","Hamnett House, Gibbet Street, Halifax, HX2 0AX",5000,2420,04/01/13
D2SCO Ltd,29032005,"4 Atlas Mill Road, Brighouse, HD6 1ES","Fao Satinder Salona, 4 Atlas Mill Road, Brighouse, HD6 1ES",3800,0,05/01/13
,68056703,"42/42A Newstead Avenue, Halifax, HX1 4TE",,3200,0,02/01/13
C F K Developments (Croft Myl) Llp,69360755,"Croftmyl, Gf Office A4, West Parade, Halifax              HX1 2EQ","Unit 1 Rudgate Court, Walton, Near Wetherby, West Yorks, LS23 7BF",680,0,01/30/13
C F K Developments (Croft Myl) Llp,69360754,"Croftmyl, Gf Office A6, West Parade, Halifax              HX1 2EQ","Unit 1 Rudgate Court, Walton, Near Wetherby, West Yorks, LS23 7BF",2250,0,01/30/13
Mooch On Market Street Ltd,76360024,"24 Market Street, Hebden Bridge, HX7 6AA",,6700,0,05/22/12
Northforge Ltd,64788840,"Office Suite D105, Dean Clough Mills, Halifax, HX3 5AX",,3400,0,07/01/12
,29080013,"15 Bradford Road, Brighouse, HD6 1RW",,9900,3115.5,07/30/13
,64901701,"Adj Brookhouse Grange, Brookhouse, Ogden, Halifax              HX2 8XN",,650,0,07/15/13
,77128736,"Unit 4 No. 2 Warehouse, The Wharf, Sowerby Bridge, HX6 2AG",,4650,0,08/02/13
D L Partnership (Ad) Ltd,68280729,"1ST & 2ND Floor, 46 Prescott Street, Halifax, HX1 2QW","Fao Mr A Denham, The Mallows, Steps Lane, Sowerby Bridge, HX6 2JH",7700,1056.06,10/13/13
,69360762,"Unit 2, West Parade, Halifax, HX1 2TE",,2900,0,04/01/12
,78400824,"Unit 12 Middle Floor, Quality Works, Rochdale Road, Todmorden           OL14 7NA",,1450,0,07/01/12
Todmorden W M Social Club,78192818,"North View, Halifax Road, Todmorden, OL14 5QG","C/O The Secretary, North View, Halifax Road, Todmorden, OL14 5QG",3350,0,05/13/12
,77648012,"12 West Street, Sowerby Bridge, HX6 3AN",,3050,0,08/21/12
,76036707,"Land Moorland View, Billy Lane, Wadsworth, Hebden Bridge        HX7 8RY",,1625,786.5,04/01/12
Astley House Ltd,76560716,"Units 1,3 & 4 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",,10750,4119.58,09/10/12
Edkins & Holmes Estate Agents Ltd,64254744,"Store, 6A Stainland Road, Greetland, Halifax              HX4 8AD","6a Stainland Road, Greetland, Halifax, HX4 8AD",390,188.76,10/01/13
Edkins & Holmes Estate Agents Ltd,64254745,"6A Stainland Road, Greetland, Halifax, HX4 8AD","6a Stainland Road, Greetland, Halifax, HX4 8AD",3900,0,10/01/13
Sainsbury's Bank Plc,68192703,"Atm Site, 21/23 Park Drive, Halifax, HX2 7NP","C/O Gl Hearn Management Ltd, Po Box 1610, Southampton, Hants, SO15 3WX",3750,1815,04/01/10
,29196114,"114 Commercial Street, Brighouse, HD6 1AQ",,5000,0,10/01/12
,29372001,"1 King Street, Brighouse, HD6 1NX",,7100,629.96,10/01/12
J D Wetherspoon Plc,77652711,"The Commercial, Wharf Street, Sowerby Bridge, HX6 2LA","C/O B N P Paribas Real Estate, Attn Rating Support Unit, 9 Colmore Row, Birmingham, B3 2BJ",11250,5445,09/25/12
,77348722,"Unit 11, Penair Works, Mill Fold, Ripponden           HX6 4DJ",,4550,0,12/03/12
Halifax Chiropractic Centre Ltd,64584789,"Ground Floor, 20 Clare Road, Halifax, HX1 2HX","20 Clare Road, Halifax, HX1 2HX",8800,1987.51,06/25/12
Northern Art Stone Ltd,65344969,"Unit 2, Old Elegant Stone Works, Holdsworth Road, Holmfield            HX2 9TN","Unit 2, Old Elegant Stone Works, Holmfield Industrial Estate, Halifax, HX2 9TN",4100,0,01/07/13
Studio 110 Ltd,56212730,"Unit 110 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY","Fao Graham Rogers, 5 Midgley Road, Mytholmroyd, HX7 5LW",1400,0,08/19/12
,65344864,"Unit H M 24 Holmfield Mills, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,1075,0,11/01/12
,76444720,"Unit 10a Mount Pleasant Mill, Midgley Road, Mytholmroyd, Hebden Bridge       HX7 5LR",,1125,0,02/01/13
Dogma Creative Ltd,77687023,"23 Fairbanks, Sowerby Bridge, HX6 2AB","23 Fairbanks, Sowerby Bridge, HX6 2AB",5900,0,01/25/13
J S Food & Wine Store Ltd,77154035,"35 Clifton Street, Sowerby Bridge, HX6 2DQ",,2350,0,01/06/13
Whittingtons & Sylvester (Pension Fund),29408717,"Music 2, 7 Martin Street, Brighouse, HD6 1DA","32 High Street, Brighouse, HD6 1DE",2025,0,10/15/12
,56132800,"72 Huddersfield Road, Elland, HX5 9AA",,3750,0,04/01/13
,29576711,"First Floor Room 1, Old Town Hall, Thornton Square, Brighouse            HD6 1ED",,1925,0,01/02/13
Countrywide Estate Agents Plc,64436014,"14 Bull Green, Halifax, HX1 5AB","17 Pittville Street, Cheltenham, Gloucestershire, GL52 2LN",7500,3630,05/01/13
Pyxis Joinery Ltd,56220762,"Unit A Woodman Works, South Lane, Elland, HX5 0PA","Unit A, Woodman Works, South Lane, Elland, HX5 0PA",5100,0,11/30/14
Ideal Boats Company Ltd,78024730,"Unit 5, Gauxholme Industrial Estate, Bacup Road, Todmorden           OL14 7PN","Woodhouse Mill, Hollins Road, Todmorden, OL14 8JA",4300,0,02/06/15
,68276004,"4 Powell Street, Halifax, HX1 1LN",,7900,1210.78,06/01/15
Unitward Ltd,68520710,"Sedburgh Road, Halifax, HX3 9HB","Atlas Works, Sedburgh Road, Halifax, West Yorkshire, HX3 9HB",8100,4025.7,05/01/15
Driver Hire Group Services Ltd,65344883,"Office H M 2.12, Holmfield Mills, Holdsworth Road, Halifax              HX3 6SN","7 Bradford Business Park, Kings Gate, Bradford, BD1 4SJ",3500,1694,04/20/15
Clydesdale Bank Plc,29080364,"Atm At, 364 Bradford Road, Brighouse, HD6 4DH","C/O Cushman & Wakefield, National Rating Team, St Paul's House, 23 Park Square South, Leeds, LS1 2ND",3750,1815,04/27/15
,65600708,"Unit 5, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",,4750,0,07/21/14
Revolution Porsche Specialists Ltd,29274705,"Unit 1C Prince Of Wales Mill, Princess Street, Brighouse, HD6 1LH","Unit 1, Prince Of Wales Business Park, Birds Royd Lane, Brighouse, HD6 1LQ",5700,2758.8,04/01/15
Craggs Country Business Park Llp,76400731,"Unit 10 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT","H/O Craggs Country B Park, New Road, Cragg Vale, Hebden Bridge, HX7 5TT",2550,0,06/01/15
A.I.W Management Ltd,56184701,"Old Coach House, Oak Street, Elland, HX5 0JJ","Lower Goat House, Oldham Road, Rishworth, Sowerby Bridge, HX6 4QE",3500,1694,03/25/14
,64084704,"Arundel Street, Halifax, HX1 4LE",,2450,0,04/01/07
Pivo Ltd,78400747,"Bramsche Bar, 31 Rochdale Road, Todmorden, OL14 7LA",,6600,0,02/01/15
G & S Motors Ltd,78120708,"Unit 5 Hope Mill, Raglan Street, Todmorden, OL14 5HJ",,5500,0,11/01/13
,76160770,"Unit 17, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU",,2650,0,01/01/16
,65600715,"Unit 19, Lee Bridge Industrial Estate, Lee Bridge, Halifax             HX3 5AT",,5400,0,01/01/16
C2 (General Partner Two) Lp,65626703,"Unit 6 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND","C/O Ryden Llp, Carlton Tower, 34 St Paul's Street, Leeds, LS1 2QB",7600,0,11/01/15
Datora Limited,64788826,"Office Suite D256, Dean Clough Mills, Halifax, HX3 5AX","Office Suites D256 & D261, Dean Clough Mills, Halifax, HX3 5AX",2100,1016.4,10/26/15
Topdrill Ltd,56020714,"Unit 2 The Wheatsheaf, Briggate, Elland, HX5 9HG","7 Deeping Gate, Stonebridge, Milton Keynes, MK13 0DE",4400,2129.6,10/28/15
,78116004,"4 Dale Street, Todmorden, OL14 5PX",,1550,0,01/01/16
The Old Coop Cafe Bar Ltd,78400029,"29 Rochdale Road, Todmorden, OL14 7LA",,7500,0,11/09/15
,77024745,"Units 54/55/56, Asquith Bottom Works, Asquith Bottom, Sowerby Bridge       HX6 4RG",,8900,2081.99,01/17/16
,65020729,"A T Recovery, Unit 12 Fairlea Mill, Ellen Holme Lane, Luddendenfoot        HX2 6EP",,9000,0,04/01/15
Blackshaw Holdings Ltd,29084796,"Unit 5 Clifton Mills, Bradford Road, Bailiff Bridge, Brighouse            HD6 4JJ","St Bernards Mill, Gelderd Road, Gildersome, Leeds, LS27 7NA",8600,4274.2,07/24/15
Confined Space Services Ltd,29084845,"Unit 18, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",,7900,3823.6,05/26/15
Halifax Opportunities Trust,64242823,"Off 3 2ND Flr Grove Mill, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER","Attn Barbara Harbinson, The Elsie Whiteley Centre, Hopwood Lane, Halifax, HX1 5ER",10000,994,12/31/14
Bizspace Ltd,64628712,"Units 12A & 12B, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",2950,1466.15,06/01/15
,65958705,"First Floor Store, 150 Jubilee Road, Halifax, HX3 9LL",,5000,0,10/12/15
North Vale Doubling Co Ltd,29084858,"Part 2ND Floor (Whse), Northvale Mills, Bradford Road, Brighouse            HD6 4DJ","North Vale Mills, Bradford Road, Brighouse, HD6 4DJ",2500,1210,06/01/14
North Vale Doubling Co Ltd,29084862,"Pt 2ND/3RD/PT4TH/5TH Flrs, Northvale Mills, Bradford Road, Brighouse            HD6 4DJ","North Vale Mills, Bradford Road, Brighouse, HD6 4DJ",11250,5445,03/01/15
Maramar Holdings Ltd,64242783,"Unit 1A, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT","Mile Thorn Works, Gibbet Street, Halifax, HX1 4JR",5700,2832.9,06/13/15
,68536896,"Empty Greenbank Storage, Drakes Industrial Estate, Shay Lane, Halifax              HX3 6RL",,3800,0,12/24/14
Priestley & Taffs Ltd,64784848,"Office Suite E 107, Dean Clough Mills, Halifax, HX3 5AX","C/O Bairstow & Atkinson, Carlton House, Bull Close Lane, Halifax, HX1 2EE",8100,1372.22,06/01/15
,29080782,"R/O 63 Bradford Road, Brighouse, HD6 1RS",,4350,0,07/08/15
,76420718,"Old Town Mill, Wadsworth, Hebden Bridge, HX7 8TE",,5500,0,08/01/15
,65164879,"114-116 Gibbet Street, Halifax, HX1 5BZ",,5400,2683.8,07/22/15
Tws (Selby) Ltd,29084847,"Unit 15, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA","Newhold Industrial Estate, Aberford Road, Garforth, Leeds, LS25 2LD",7900,3823.6,01/16/16
,65844148,"148 Moor End Road, Halifax, HX2 0SF",,1650,0,06/09/15
,78192053,"Ground Floor, 53 Halifax Road, Todmorden, OL14 5BB",,3000,0,01/01/16
,65132705,"Office 3 Britannia Works, Garden Street North, Halifax, HX3 6AE",,2275,0,01/12/16
,69256720,"End Of Walnut Street, Halifax, HX1 5JB",,9000,4356,02/10/16
Radiator Renovator Ltd,64352718,"Unit 15, Brunswick Industrial Estate, Brassey Street, Halifax             HX1 2EL",,10000,3226.68,01/09/16
Monthly Media Limited,65344754,"Office 3.6 & 3.9, 1ST Floor, White Rose Mill, Holdsworth Road, Halifax              HX3 6SN",,2450,0,02/01/14
,65344770,"Unit 13 White Rose Mill, Holdsworth Road, Holmfield, Halifax              HX3 6SN",,1475,0,04/16/15
Ksh (Halifax) Ltd,56220742,"Unit 9A Woodman Works, South Lane, Elland, HX5 0PA","Unit 3 Mount Works, Dewsbury Road, Elland, HX5 9BG",7700,3726.8,07/01/15
,69228703,"Ash Tree Barn, Wainstalls Road, Wainstalls, Halifax              HX2 7TE",,1200,0,08/01/14
,29452770,"Store 26A, 11 Owler Ings Road, Brighouse, HD6 1EJ",,1175,0,10/01/15
Rmg Services Ltd,76160819,"Unit 2B Dean Hey C'Try B Pk, Cragg Road, Mytholmroyd, HX7 5RU",,8700,1895.07,11/01/14
Vertu Motors (Property) Ltd,68540703,"Adj Shay Hotel, Shay Syke, Halifax, HX1 2ND","Vertu House, Kingsway North, Team Valley, Gateshead, NE11 0JH",5800,2807.2,04/01/15
,65232703,"Unit 1 Lrp Business Park, Halifax Road, Hipperholme, Halifax              HX3 8ER",,3350,0,09/01/15
,77632713,"Unit 7, Hillas Industrial Estate, Walker Lane, Sowerby Bridge      HX6 2AR",,6800,0,12/15/15
,65516732,"239/241 King Cross Road, Halifax, HX1 3JL",,7300,765.57,01/29/16
Dean Clough Ltd,64788849,"Unit G 417, Dean Clough, Halifax, HX3 5AX","Office Suite E345, Dean Clough, Halifax, HX3 5AX",3800,0,02/09/16
,76340714,"Unit 6 Linden Works, Linden Road, Hebden Bridge, HX7 7DP",,2900,1403.6,01/01/16
,65516783,"261 King Cross Road, Halifax, HX1 3JL",,7500,907.5,01/02/16
Vine Property Management Ltd,65752717,"Unit 9, Halifax Industrial Centre, Marshway, Halifax             HX1 5RW","3 Vine Street Terrace, High Street, Harborne, Birmingham, B17 9PU",7000,0,02/01/16
Kino & Co,65344518,"Unit 12E, Holdsworth Road, Halifax, HX3 6SW","Office H M 2.0, Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",3600,1789.2,06/15/15
Intelligent Storage W G C Ltd,64628865,"Unit 18G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","25 Brownfields, Welwyn Garden City, AL7 1AN",4600,2226.4,12/03/15
Intelligent Storage W G C Ltd,64628866,"Unit 18H, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","25 Brownfields, Welwyn Garden City, AL7 1AN",3900,1887.6,12/03/15
Intelligent Storage W G C Ltd,64628797,"Unit 8G, Calderdale Business Park, Club Lane, Halifax              HX2 8AX","25 Brownfields, Welwyn Garden City, AL7 1AN",2750,1331,12/03/15
Calderdale Mbc Markets Manager,64288748,"Market Stall 104-107, Market Hall, Borough Market, Halifax             HX1 1DZ","19 Albion Street, Halifax, HX1 1DU",5300,0,10/19/14
Slj Party Bags & Pocket Money Toys Ltd,65344951,"Unit 1 I South Mill, White Rose Mill, Holdsworth Road, Halifax              HX6 6SW","6 Alpine Close, Illingworth, Halifax, HX2 9RE",3150,0,04/01/15
Martin Knowles Electrical Ltd,76252812,"Unit 11 Caldene Business Pk, Burnley Road, Mytholmroyd, Hebden Bridge        HX7 5QJ","25 Edward Street, Sowerby Bridge, HX6 2NJ",1350,0,12/01/14
Jewells Of Halifax Ltd,68504062,"62 School Lane, Illingworth, Halifax, HX2 9QW","17 Woodville Street, Lee Mount, Halifax, HX3 5BY",4700,0,10/01/15
Community Transport Ltd,64480710,"Office 2, Church Of St John Evangelist, Calder Street, West Vale            HX4 8AQ","Offices 1, 2 & 3, Church Of St John Evangelist, Calder Street, West Vale, HX4 8AQ",2225,1076.9,04/01/15
North West Media Services Ltd,29084843,"Unit 20, Branxholme Industrial Estate, Bradford Road, Brighouse            HD6 4EA",,7900,3823.6,07/23/15
Aph Elixir Hscc Ltd,68580714,"Third Floor, 18 Silver Street, Halifax, HX1 1HS","1 Central Street, Halifax, HX1 1HU",9000,2178,10/09/15
Site Computers Ltd,76156736,"Units 8D & 8E, Topland Country Bus Pk, Cragg Road, Hebden Bridge        HX7 5RU","Woodville, Cragg Vale, Hebden Bridge, HX7 5TA",5300,0,04/15/13
,65264812,"Unit 4, 148/150 Hanson Lane, Halifax, HX1 5PQ",,8300,1539.75,08/01/15
,65068713,"Unit 3, Farrar Mill Yard, Farrar Mill Lane, Halifax              HX3 9EU",,5800,2807.2,09/01/15
,64584802,"1ST & 2ND Flrs, 32 Clare Road, Halifax, HX1 2HX",,8400,1626.24,12/01/14
Metropolis Interiors Ltd,76160799,"Unit 4E, Topland Country Business Pk, Cragg Road, Mytholmroyd          HX7 5RU","Registered Office, 17 Burnley Road, Mytholmroyd, HX7 5LH",3600,0,01/01/16
,65364066,"66 Hopwood Lane, Halifax, HX1 4DG",,2650,1282.6,11/08/15
,77196726,"Office 2, Church View Office Centre, Elland Road, Ripponden            HX6 4DB",,1975,0,06/13/15
Friarshill Ltd,68296742,"Unit 2 Washer Lane Works, Washer Lane, Halifax, HX2 7DX","C/O Jilco Ltd, 1 Spruce House, Washer Lane, Halifax, HX2 7DR",1250,0,04/01/14
,65344514,"Holmfield Auto Spares Ltd, Holdsworth Road, Halifax, HX3 6SN",,7200,696.96,08/21/15
Independent Living Project Ltd,68280716,"Thornton House, 14 Prescott Street, Halifax, HX1 2LG","5 Lilac Close, Brighouse, HD6 1RQ",9900,3115.5,11/01/15
