Id,Title,Author,Abstract,DOI,Kw,qry-heter,qry-n,qry-ieee-1,qry-ieee-2,qry-ieee-3
,Situation-driven processes for Semantic Web Services,S. Dietze; A. Gugliotta; J. Domingue,"Process models to support user objectives are used across several domains, such as eLearning or Business Process Management. Usually, specific metadata schemas, such as the XML bindings of the Business Process Modelling Notation (BPMN) or IMS Learning Design (IMS LD), are used to enable interoperability. Since Web services which are used throughout a process at runtime, are allocated statically within the process model at design-time, their dynamic adaptability to distinct situations is highly restricted. Whereas the aforementioned process models define a process from a user perspective, Semantic Web Services (SWS) technologies, such as WSMO or OWL-S, define processes from a system perspective by enabling the semantic description of services and data to support their automatic discovery and invocation to achieve specific user tasks at runtime. However, until now, a common link is missing to bridge between a processpsila user perspective and its system perspective. In this paper we propose a metamodel for Situation-Driven Processes (SDP) which enables the description of a process in terms of specific process situations which each is linked to a specific user Goal (user perspective) as well as a set of Brokered Goals (system perspective). Since Brokered Goals are gradually derived from SWS Goals, a process is accomplished dynamically at runtime in terms of SWS Goal achievements. As a result, following an approach of situation-driven process generation at runtime, we support the dynamic composition of a process appropriate for a given situation and its automatic transformation into distinct process metadata standards.",10.1109/ICSSSM.2008.4598524,Semantic Web Services;WSMO;IRS-III;Process Management; Web services;Semantic web;Runtime;Ontologies;Standards;Business;Electronic learning; meta data;ontologies (artificial intelligence);open systems;semantic Web;Web services;XML; situation-driven processes;semantic Web services;eLearning;business process management;metadata schemas;XML bindings;business process modelling notation;IMS learning design;interoperability;WSMO;OWL-S;brokered goals;automatic transformation,,1,1,,
,Building a User Friendly Service Dashboard: Automatic and Non-intrusive Chaining between Widgets,"Laga, N and Bertin, E and Crespi, N","End-users self service and end-users as co-developers are two main characteristics of web 2.0 paradigm. They will harness the great potential of the Internet of services. However, today's service exposure tools and service composition tools are too complex to be used by ordinary end-users. They are based on technologies such as REST, WSDL, and SOAP which are hardly understandable by the end-user. In this paper, we propose a widget based service exposure and service creation tool. Our framework creates links between loaded widgets automatically; additional functionalities are thus added automatically to existing widgets as long as the end-user loads other widgets to his personal environment; in the same way as he launches an application on his Windows environment. This mechanism is definitely more intuitive than SOA technologies as it is based on the user interface. © 2009 IEEE.",10.1109/SERVICES-I.2009.62,Web 2.0;widgets;service composition;service dashboard; Telecommunications;Service oriented architecture;User interfaces;Web and internet services;Simple object access protocol;Application software;Software reusability;Research and development;Software packages;Packaging; human computer interaction;software architecture;user interfaces;Web services; user friendly service dashboard;widget-based service;end-user self service;Web 2.0;Internet-of-service;Windows environment;SOA technology;user interface,,1,1,,
,Enabling Message Security for RESTful Services,G. Serme; A. S. de Oliveira; J. Massiera; Y. Roudier,"The security and dependability of cloud applications require strong confidence in the communication protocol used to access web resources. The mainstream service providers nowadays are shifting to REST-based services in the detriment of SOAP-based ones. REST proposes a lightweight approach to consume resources with no specific encapsulation, thus lacking of meta-data descriptions for security requirements. Currently, the security of RESTful services relies on ad-hoc security mechanisms (whose implementation is error-prone) or on the transport layer security (offering poor flexibility). We introduce the REST security protocol to provide secure service communication, together with its performance analysis when compared to equivalent WS-Security configuration.",10.1109/ICWS.2012.94,REST;Performance;Message Security;Protocol; Protocols;Encryption;Servers;Payloads;Standards; cloud computing;cryptographic protocols;Java;service-oriented architecture;transport protocols;Web services; communication protocol;Web resources;mainstream service providers;RESTful services;SOAP-based services;REST security protocol;secure service communication;performance analysis;message security;cloud application,,1,1,,
,A parameterized RBAC access control model for WS-BPEL orchestrated composite web services,N. Nassr; E. Steegmans,"In complex environments multiple web services are needed to interoperate together. Web Services Business Process Execution Language (WS-BPEL) has become the de facto standard for orchestrating composite web services. Unfortunately, WS-BPEL bypasses some business mandatory security requirements such as authentication and authorization. However, there have been some initiatives to address the authorization-bypass security vulnerability in WS-BPEL through integration with access control models such as RBAC. However, the RBAC models used lack expressiveness in role definitions and in roles to permissions mappings. More so, the architectures proposed use sequential authorization that is inefficient for long running business processes. In this paper, we extend the parameterized RBAC model and integrate it with WS-BPEL. The new extended parameterized RBAC model for WS-BPEL provides restriction of access up to the level of the variables of the business process. We also provide a new algorithm for authorization enforcement that addresses limitations of exiting WS-BPEL authorization architectures.",,Parameterized RBAC;composite web services;WS-BPEL;access control;web services security; Web services;Authorization;Process control;Organizations; authorisation;business data processing;specification languages;Web services; parameterized RBAC access control model;role-based access control;WS-BPEL orchestrated composite Web service;Web services business processing execution language;business mandatory security requirement;authentication requirement;authorization requirement;authorization-bypass security vulnerability;sequential authorization;business process,,1,1,,
,Research on SOA-Based Integrated Strategy to Enable the Smart Grid,C. Liu; T. Reynolds; H. Bao,"This paper proposes the use of service-oriented architecture and Web service technology, to address the current energy control problem. We propose a extended hierarchical model to organize the integrated smart grid system connected over the IP cloud, so that coordination and cooperation of all information systems are achieved autonomously and provides consumers with a carbon network management platform for real-time control. Detailed analyses and explanation of each layer of the architecture is presented and a related technology is introduced such as UDDI, SOAP, RDF. This study was designed to solve the energy restructuring, energy supply and consumption regulation, and the effective use of existing resources to strengthen the power infrastructure system agility and interactivity.",10.1109/CyberC.2010.98,service-oriented architecture;web service;smart grid;energy restructuring;IP cloud;RDF; Service oriented architecture;Smart grids;Computer architecture;IP networks;Real time systems;Business; energy consumption;power engineering computing;smart power grids;software architecture;Web services; SOA-based integrated strategy;service-oriented architecture;Web service technology;current energy control problem;integrated smart grid system;IP cloud;information systems;carbon network management platform;UDDI;SOAP;energy restructuring;energy supply;consumption regulation;power infrastructure system agility,,1,1,,
,A Multi-Agent-Based Service-Oriented Architecture for Inter-Enterprise Cooperation System,X. Liu,"Inter-enterprise cooperation system software manages full business processes and allows access to both own and partners' system. Many organizations have discovered that attempting to force collaboration by synthesizing information systems into an inter-enterprise cooperation environment fails. The study of the existing approaches shows that no single solution fulfills all requirements identified for the inter-enterprise cooperation system. One of the basic obstacles is the lack of comprehensive models and tools for inter-enterprise cooperation system as a basis for contracting and standardization. This paper proposes a multi-agent-based service-oriented architecture (SOA) for inter-enterprise cooperation system. In this paper, establishes the basis for transforming the inter-enterprise cooperation business models into multi-agent-based SOA components, utilizes existing web services standards UDDI Specifications and design UDDI Service Agent tool for an extension to UDDI Data Structure and UDDI XML API to be able to associate automatically both prescriptive and descriptive metadata with service entries. Finally, we outline the implementation of a prototype.",10.1109/ICDT.2007.4,SOA Multi-agent Web services UDDI Inter-enterprise Cooperation System; Service oriented architecture;Web services;Supply chains;Software systems;Virtual enterprises;Computer architecture;Object oriented modeling;XML;Application software;Quality of service; business data processing;business forms;data structures;multi-agent systems;organisational aspects;software architecture;Web services; multiagent;service-oriented architecture;interenterprise cooperation system;force collaboration;Web services;UDDI Specifications;Service Agent tool;Data Structure;XML API,,1,1,,
,Building a modular service oriented workflow engine,G. Stürmer; J. Mangler; E. Schikuta,"Current workflow engines, often based on WS-BPEL, are monolithic programs to orchestrate a business process or take part in choreography between partners. They cover aspects like the execution of the workflow description derived from the business process, the communication with external services, and the handling of errors. Both, the communication with services as well as basic error handling are covered by static and internal APIs [S. Modafferi, E. Mussi, and B. Pernici (2006)], and thus provide only simple strictly internal means of interaction with running workflows. Introducing new repair algorithms or self-healing behavior require detailed monitoring and modification of all aspects of a workflow execution thus requiring a modularization of the workflow engine itself. In this paper we will present a modular and service oriented workflow engine. Modularity and service-orientedness are realized by integrating a workflow execution engine with means of logging, repair and possibility to invoke external services through simple Web-based APIs.",10.1109/SOCA.2009.5410270,; Search engines;Runtime;Service oriented architecture;Web services;Computer science;Business communication;Monitoring;IP networks;Web and internet services;Yarn; application program interfaces;business data processing;error handling;software architecture;workflow management software; modular service oriented workflow engine;WS- BPEL;business process;monolithic programs;choreography;error handling;Web-based APIs;workflow execution;workflow description language,,1,1,,
,Validation of a CoAP to IEC 61850 Mapping and Benchmarking vs HTTP-REST and WS-SOAP,M. Iglesias-Urkia; D. C. Mansilla; S. Mayer; A. Urbieta,"With the advent of Smart Grid systems, the digitalization of electrical grid infrastructures aims to improve energy saving and efficiency. The International Electrotechnical Commission (IEC) is one of the organizations that create and manage norms and standards in areas related to electricity and electronics, such as IEC 61850. In recent years, the research community have proposed mappings of different communication protocols to IEC 61850. However, most of the proposals focused on heavyweight interaction paradigms and protocols such as Common Object Request Broker Architecture (CORBA), Data Distribution Service (DDS), HTTP-REST or Web Services. With the proliferation of the Internet of Things (IoT), new lightweight protocols are appearing opening new perspectives to the standard. Hence, this paper firstly presents a validation of a mapping of the IEC 61850 standard to the Constrained Application Protocol (CoAP) and then compares its performance implementing the IEC's mapping against HTTP-REST and Web Services/SOAP. For comparison purposes, the communication latency, the number of total bytes sent, and the size of the overhead are presented for each of the three approaches. To conclude, future perspectives on the suitability of lightweight protocols to the IEC 61850 are provided.",10.1109/ETFA.2018.8502624,Benchmarking;CoAP;HTTP-REST;IEC 61850;Internet of Things;IoT;Smart Grids;SOAP;Web Services; IEC Standards;Protocols;Proposals;Simple object access protocol;XML;Monitoring; distributed object management;IEC standards;Internet of Things;power engineering computing;smart power grids;transport protocols;Web services; HTTP-REST;lightweight protocols;IEC 61850 standard;Constrained Application Protocol;CoAP;Web Services/SOAP;IEC 61850 Mapping;Smart Grid systems;electrical grid infrastructures;International Electrotechnical Commission;electricity;electronics;Internet of Things;data distribution service;communication protocols;Common Object Request Broker Architecture,,1,1,,
,A Framework for Semantic Web Service Discovery and Planning,S. Chaiyakul; K. Limapichat; A. Dixit; E. Nantajeewarawat,"With the expanse of Internet, Web programmers have wide choice of Web services available to them. A need arises for automatic discovery of required Web services and construction of an appropriate sequence of invocation thereof. In this paper, we present a framework for automation of this task based on currently emerging technologies such as ontological knowledge bases, OWL, OWL-S, WSDL, description logic (DL), etc. Background knowledge ontologies are created based on which semantic meanings of Web services can be given through OWL-S. An agent employs OWL-S API to extract Web service metadata, and applies a DL inference engine, called Racer, for reasoning with the metadata with respect to given background knowledge. Reasoning tasks performed by Racer include profile matchmaking, input/output subsumption testing, and preconditions/effects analysis, which are basic mechanisms for Web services discovery and invocation planning. A prototype system has been implemented",10.1109/ICCIS.2006.252304,OWL;OWL-S;Semantic Web Service; Semantic Web;Web services;Ontologies;Web and internet services;Programming profession;Automation;OWL;Logic;Search engines;Performance evaluation; data mining;inference mechanisms;knowledge based systems;knowledge representation languages;ontologies (artificial intelligence);semantic Web;Web services; semantic Web service discovery;semantic Web service planning;Internet;knowledge ontology;OWL-S API;Web service metadata;OWL-DL inference engine;Racer;profile matchmaking;input-output subsumption testing;Web invocation planning;precondition-effect analysis,,1,1,,
,Proposal of a REST-Based Architecture Server to Control a Robot,R. Esteller-Curto; E. Cervera; A. P. del Pobil; R. Marin,"Middle wares such as Player and ROS are commonly used in network robotics applications in order to provide networking capabilities and other functionalities such as remote control, vision, and others. On the other hand, they introduce more complexity to the system and decrease the system performance. For that reason, the use of web services, remote procedure calls, or messaging can be considered as an alternative to minimize the system complexity and design a more specific architecture that works at a certain performance. In fact, using simple HTTP connections to a robot can be very adequate in education and training or benchmarking applications where the students and researchers must concentrate on the design of the system and have an easy way to interact with the robot. This article proposes a REST architecture used over a HTTP connection to control a robot and exchanging information using xml. That provide great advantages, using standard HTTP calls enhances the availability of the system, and increases the debug facilities. The REST architecture has some characteristics that sometimes can be seen as an advantage and other times as an inconvenient, it is very simple and stateless. As opposite to SOAP and other RPC servers, REST is based on resources, not on operations. The REST philosophy aims to access URIs through HTTP protocol using CRUD operations. On the other hand, there are functionalities not supported as the need of callbacks which can be solved with different approaches (polling or non-REST callbacks). The research is based on the experience of constructing a server to control a 6-degree of freedom FANUC robot, letting the robot be accessed by simple HTTP connections using a REST-based architecture.",10.1109/IMIS.2012.130,Internet;robotics;REST;architecture; Robots;Servers;XML;Computer architecture;Libraries;Complexity theory;Sockets; computational complexity;control engineering computing;middleware;robots;transport protocols;Web services; REST-based architecture server;robot control;middlewares;Player;ROS;network robotics applications;remote control;system complexity;Web services;remote procedure calls;HTTP connection;standard HTTP calls;FANUC robot;URI;CRUD operations;HTTP protocol;RPC servers;SOAP;debug facilities,,1,1,,
,A Lightweight Inter-node Operation for UDDI Cloud,R. Podesta,"Coordinated UDDI public registries disappeared almost two years ago. In 2006 the UDDI cloud, a registries federation managed by IBM, HP, Microsoft and SAP, was shut down with the end of the UDDI business registry (UBR) project. UDDI is still widely adopted for private registries. Isolated public registries are quite rare and an UDDI coordination mechanism is still missing. In URB a pure entries replication mechanism was allowing access to all the entries published on each server. However, such pure replication does not scale and prevents the creation of dynamic federation of UDDI registries. This paper describes a work-in-progress solution based on a inter-node operation enabling the replication APIs to distribute the entries across a distributed hash table (DHT). Thus, it reduces the number of replicated entries to a sub-set of nodes participating in the UDDI cloud and opens a new possible scenario for the adoption of the UDDI standard.",10.1109/EDOCW.2008.7,; Clouds;Network servers;Peer to peer computing;Project management;Usability;Resource management;Costs;Investments;Convergence; application program interfaces;file organisation;Web services; lightweight inter-node operation;UDDI cloud;private registries;API;distributed hash table,,1,1,,
,Correct-by-Construction Web Service Architecture,"Stachtiari, E and Vesyropoulos, N and Kourouleas, G and Georgiadis, C K and Katsaros, P","Service-Oriented Computing aims to facilitate development of large-scale applications out of loosely coupled services. The service architecture sets the framework for achieving coherence and interoperability despite service autonomy and the heterogeneity in data representation and protocols. Service-Oriented Architectures are based on standardized service contracts, in order to infuse characteristic properties (stateless interactions, atomicity etc). However, contracts cannot ensure correctness of services if essential operational details are overlooked, as is usually the case. We introduce a modeling framework for the specification of Web Service architectures, in terms of formal operational semantics. Our approach aims to enable rigorous design of Web Services, based on the Behaviour Interaction Priorities (BIP) component framework and the principles of correctness-by construction. We provide executable BIP models for SOAP-based and RESTful Web Services and for a service architecture with session replication. The architectures are treated as reusable design artifacts that may be composed, such that their characteristic properties are preserved. © 2014 IEEE.",10.1109/SOSE.2014.12,Service-Oriented Architecture;Rigorous Design;Web Services;Correctness-by-Construction; Computer architecture;Service-oriented architecture;Ports (Computers);Connectors;Protocols;Semantics; data structures;formal specification;service-oriented architecture;Web services; correct-by-construction Web service architecture;service-oriented computing;service autonomy;data representation;protocols;service-oriented architectures;standardized service contracts;modeling framework;Web service architecture specification;formal operational semantics;Web service design;behaviour interaction priorities component framework;BIP component framework;correctness-by construction;executable BIP models;SOAP-based Web service;RESTful Web services;session replication;reusable design artifacts,,1,1,,
,Infoset for Service Abstraction and Lightweight Message Processing,"Li, L and Chou, W","Web services technologies are undergoing some significant changes at several levels, ranging from architectural styles (REST vs. SOAP) to message formats. To cope with these changes, there is a need to design services in an abstract fashion that is less sensitive to these changes so that our technological and economic investments are protected. To address this issue, this paper proposes an abstract modeling framework, called Infoset, both as a design and analysis tool and a message processing architecture. The benefit of Infoset is demonstrated first on some dual web services that provide both REST and SOAP access. The Infoset analysis modeling reveals the commonality and differences between dual web services, making it feasible to design abstract web services. Infoset also leads to a rule based message processing architecture that avoids the problems in current static Object/XML SOAP engines. By dynamically computing the context of Infoset rules in message workflows, dependences between integrated web services are reduced and the reusability of services logic is increased. A prototype of this architecture is implemented and the preliminary experimental results indicate that the performance is satisfactory © 2009 IEEE.",10.1109/ICWS.2009.120,Infoset;SOAP;REST;Service Modeling;Lightweight Message Processing;Eventing; Web services;Simple object access protocol;Computer architecture;Investments;Protection;XML;Engines;Context-aware services;Logic;Prototypes; software architecture;Web services; service abstraction;message processing architecture;Web services technologies;architectural styles;Infoset analysis modeling;Object-XML SOAP engines,,1,1,1,1
,An automatic Semantic Web Service composition approach based on PDDL,Wang Xing; Zhang Wenpeng,"In this paper, against the problem of composing Semantic Web Services using AI planner, we proposed an algorithm that translates OWL-S process models to the PDDL actions. After this work, we can choose the most suitable AI planner to compose Web services. The algorithm presented in this paper is an attempted and exploratory work, so there is some shortage in it. The reality that PDDL does not support iteration construct does restrict the ability of express, while some planners have be restricted by this behavior, such as HTN. We will explore PDDL to support this function, either by existing constructs or by developing new construct.",10.1109/ICENT.2010.5532129,Semantic Web;Service Compositio;PDDL;OWL-S; Semantic Web;Web services;Ontologies;Artificial intelligence;OWL;Process planning;Grounding;Educational technology;Software algorithms;Service oriented architecture; knowledge representation languages;planning (artificial intelligence);semantic Web;Web services; automatic semantic Web service composition;PDDL;AI planning;OWL-S;HTN;Planning Domain Definition Language,,1,1,,
,Service Contract Template,A. Simon; T. Rischbeck,"Summary form only given. Loose coupling is a cornerstone for service-oriented architecture (SOA). Service contracts enable loose coupling, because they hide service-internal details from the outside world behind a facade. In the Web services world, the service contract is commonly understood as a WSDL document possibly decorated with WS-policy annotations. Such formal XML description is not immediately useful to business people. This paper proposes the notion of a service metadata document that contains human-readable business aspects of the service in addition to technical artifacts. Stakeholders at the business and technical level work collaboratively on the service metadata document and use it as a common framework for discussion. We see the service contract as a composition of functional metadata and a set of policies, such as security constraints, access restrictions for user groups, transport and service level agreements, charging, etc. For example, enterprises often have different security requirements when a service is consumed from within the company than when it is consumed by an external business partner. The service lifecycle is initiated by business people on the basis of a service contract template; the first step is a high-level description of the desired service characteristics. In an iterative process the document is then successively refined as it percolates from the management level to service architect and other stakeholders and as business requirements are tested against technical realities. Technical artifacts (WSDL, XSD, etc.) are added to the service contract and could be placed in a registry so that the service is visible to other departments or external partners. The clear distinction between service metadata and policies also helps maintaining a consistent model over runtime WSDL proliferation. Typically, policies are enforced by intermediaries, such as XML firewalls, enterprise service bus (ESB) or other WS-infrastructure. Each such intermediary offers a virtual service endpoint to the actual service implementation. Because different policies may be enforced at each endpoint and because of the different locations, the WSDL for each of these virtual service endpoints is different",10.1109/SCC.2006.89,; Contracts;Service oriented architecture;XML;Security;Web services;Collaborative work;Online Communities/Technical Collaboration;Companies;Testing;Runtime; business data processing;Internet;specification languages; service contract template;service-oriented architecture;WSDL document;Web service description language;Web service policy annotation;service metadata document;human-readable business service aspect;functional metadata;policy intermediary enforcement;virtual service endpoint,,1,1,,
,Extending the Devices Profile for Web Services Standard Using a REST Proxy,S. N. Han; S. Park; G. M. Lee; N. Crespi,"The Devices Profile for Web Services (DPWS) standard enables the use of Web services for certain Internet of Things (IoT) applications. DPWS is appropriate for implementing services on resource-constrained devices. However, little investigation has gone into how such services perform in IoT scenarios as regards features such as dynamic discovery and publish-subscribe eventing. Moreover, DPWS introduces considerable overhead due to its use of SOAP envelopes in exchange messages. To tackle these problems, the authors extend the DPWS standard using a REST proxy, creating a RESTful Web API that paves the way for developers to invest more in this technology.",10.1109/MIC.2014.44,Internet of Things;DPWS;REST; Web services;Standards;Simple object access protocol;Resource management; application program interfaces;Internet of Things;Web services; REST proxy;devices profile for Web services standard;DPWS standard;Internet of Things applications;IoT applications;resource-constrained devices;SOAP envelopes;RESTful Web API,,1,1,1,1
,Reengineering Legacy Systems with RESTful Web Service,Y. Liu; Q. Wang; M. Zhuang; Y. Zhu,"Most of the SOA (Service Oriented Architecture) applications are not brand new and usually evolved from legacy systems. Legacy systems carry out the enterprisepsilas most crucial business information together with business processes and many organizations have leveraged the value of their legacy systems by exposing parts of it as services. Most of current Web services are SOAP-RPC style services. The evolution of the Web 2.0 phenomenon has led to the increased adoption of the RESTful services paradigm and reengineering legacy system to SOA with RESTful Web services is not only for reusing but will bring other benefits due to its special features. In this paper, the key issues for reengineering legacy systems with RESTful Web services are discussed. A common process for reengineering legacy systems to REST-style is proposed. The candidate Web services are identified by legacy systems comprehension at first. Then blend services are generated based on relationships between entities and constraint rules specified. The generated URIs are refined and split carefully to represent the RESTful Web services.",10.1109/COMPSAC.2008.89,Legacy system;Reengineering;RESTful web service; Web services;Service oriented architecture;Business;Software;Wrapping;Data mining;Simple object access protocol; business data processing;software maintenance;systems re-engineering;Web services; legacy system reengineering;RESTful Web service;service oriented architecture;business information;business processes;SOAP-RPC style services;Web 2.0 phenomenon,,1,1,,
,Integration and orchestration of heterogeneous services,Kejing He,"Service integration and orchestration are important ways to make use of existing services and to build larger systems. In the real world, services are heterogeneous. The most popular services are SOAP/WSDL services and Web applications. The heterogeneous services bring challenges to service integration and orchestration. Prior attempts use adapters or converters to mask the heterogeneity and host alien services, which potentially lead to inefficiency. This paper reviews the current techniques for heterogeneous services integration and orchestration. Comparing different techniques' strengths and weaknesses, this paper presents a hybrid orchestration approach that make use of the heterogeneous nature of the services for efficient orchestration. The proposed approach can be used for large scale efficient integration of numerous disparate services (e.g, SOAP/WSDL services and RESTful services). ©2009 IEEE.",10.1109/JCPC.2009.5420139,; Web services;Large scale integration;Simple object access protocol;Service oriented architecture;Helium;Computer science;Application software;Programming;Robustness;Filters; Internet;software architecture;Web services; SOAP-WSDL services;Web applications;converters;host alien services;heterogeneous services integration;hybrid orchestration approach;service-oriented architecture,,1,1,,
,Improving REST Service Discovery with Unsupervised Learning Techniques,J. M. Rodriguez; A. Zunino; C. Mateos; F. O. Segura; E. Rodriguez,"Discovery and replacement are two of the main features of Service Oriented Computing. There has been much research on these topics for traditional SOAP-based Web Services, particularly on discovery. Although the original proposal for REST services lacks this feature, some researchers have studied how to perform discovery for REST services using both IR based techniques and semantic techniques. This work presents a novel IR-based discovery approach for REST services described via WADL files. Our approach takes advantage of unsupervised machine learning techniques for improving discovering results. In particular, the approach relies on clustering algorithms, such as K-means or X-means, to reduce the search space for a given query. The experimental results show that using an appropriate clustering technique, our approach achieves nearly 4 times higher F-measure than a traditional IR-based search engine, namely Apache Lucene. Additionally, the paper reports other metrics, such as Recall, Precision, Precision at-10 and Recall at-10, that also point out that the proposed approach outperforms Lucene. Finally, another important contribution is a set of queries and WADL files gathered from the Internet that can be used for evaluating future discovery proposals.",10.1109/CISIS.2015.14,REST;Services Discovery;Information Retrieval;WADL; Measurement;Web services;Semantics;Indexing;Ontologies; pattern clustering;query processing;service-oriented architecture;unsupervised learning;Web services; REST service discovery improving;service oriented computing;SOAP-based Web services;IR based techniques;semantic techniques;IR-based discovery approach;WADL files;unsupervised machine learning techniques;K-means clustering algorithm;X-means clustering algorithm;search space reduction;query processing;f-measure metric;precision at-10 metric;recall at-10 metric,,1,1,,
,RESTful web services for service provisioning in next-generation networks: a survey,F. Belqasmi; R. Glitho; C. Fu,"Next-generation networks, as envisioned by ITU-T, are packet-based networks, capable of provisioning consistent and ubiquitous services to end users independent of the network, access technology, and devices used. RESTful web services are now being contemplated as a technology for service provisioning in NGNs. They are emerging as an alternative, which may be more adequate than SOAP-based web services in some cases. SOAP-based web services are modular applications that can be discovered and invoked over a network. RESTful web services, on the other hand, are defined as a network architectural style for distributed hypermedia systems. This article presents a survey on RESTful web services for service provisioning in NGNs. It introduces the concept of RESTful web services and reviews the state of the art of RESTful-based service provisioning in NGNs. It also provides an evaluation of the overall suitability of RESTful web services for service provisioning in NGNs, and discusses research directions. RESTful web services do show significant potential for service provisioning in NGNs. However, open issues such as publication/discovery and mechanisms for the development of complex session-based services need to be solved before its full potential can be realized.",10.1109/MCOM.2011.6094008,; Web services;Next generation networking;Servers;Subscriptions;Protocols;Media; 3G mobile communication;access protocols;hypermedia;IP networks;mobile computing;multimedia communication;next generation networks;Web services; RESTful web services;service provisioning;next-generation networks;ITU-T;packet-based networks;ubiquitous services;access technology;NGN;SOAP-based web services;distributed hypermedia systems;complex session-based services;simple object access protocol;representational state transfer;3GPP;IP multimedia subsystem,,1,1,,
,Achieving survivability in business process execution language for Web services (BPEL) with exception-flows,C. K. Fung; P. C. K. Hung; D. H. Folger,"Survivability is defined as the capability of a service to fulfill its mission in a timely manner, even in the presence of attacks, failures, or accidents. Because of the severe consequences of failure, organizations are focusing on service survivability as a key risk management strategy for business processes. There are three key survivability properties: resistance, recognition, and recovery. Recovery, a hallmark of survivability, is the capability to maintain critical components and resource during attack, limit the extent of damage, and restore full services following attack. Exception handling is a way to deals with the recovery aspect of survivability. Business process execution language for Web services (BPEL) has been proposed for formal specification of business processes and interaction protocols. BPEL defines an interoperable integration model that facilitates expansion of automated process integration in both intra- and intercorporate environments. A business process description requires the specification of both the normal flow and the possible variations due to exceptional situations that can be anticipate and monitored. This paper bridges the analysis of business process survivability and its recovery aspect in terms of exception handling in the context of BPEL. The feasibility of the proposed model is demonstrated using an illustrative travel reservation example.",10.1109/EEE.2005.26,Survivability;Attack tree;Web services;BPEL;Exceptional Handling; Web services;Service oriented architecture;Information technology;Independent component analysis;Imaging phantoms;Accidents;Risk management;Formal specifications;Protocols;Monitoring; business data processing;risk management;system recovery;exception handling;Internet;formal specification;open systems; business process execution language;BPEL;Web service;business process survivability;risk management;system recovery;exception handling;formal specification;interoperable integration model,,1,1,,
,Using REST Web-Services Architecture for Distributed Simulation,"Al-Zoubi, K and Wainer, G","In recent years, Web Services technologies have been successfully used for simplifying interoperability while providing scalability and flexibility in multiple applications, including distributed simulation software. The RESTful-CD++ simulation Server provides Web Services according to the REST principles by exposing services as URIs and consumed via HTTP messages. Therefore, the server becomes a service part of the Web that can be easily mashed-up with other applications and simulation software. In contrast, RPC-style SOAP-based Web Services use the Web as a transmission medium by exposing few URIs and many RPCs. RESTful-CD++ is (to our best knowledge) the only existing RESTful system in this area. Further, this distributed simulation package provides pioneering distributed simulation services using the Web architectural style. We present an overview of the principles, design and implementation of the RESTful-CD++ HTTP server and DCD++ simulation. We show that REST fulfills WS objectives with a much better and easier style than the SOAP-based systems. © 2009 IEEE.",10.1109/PADS.2009.16,DEVS;CD++;Web-Services;SOA;REST;Distributed Simulation; Object oriented modeling;Web server;Integrated circuit modeling;Computational modeling;Computer simulation;Web services;Application software;Service oriented architecture;Scalability;Containers; digital simulation;open systems;Web services; REST Web-services architecture;Web services technology;interoperability;distributed simulation software;RESTful-CD++ simulation server;HTTP message;URI;DCD++ simulation,,1,1,,
,Secure Browser-Based Access to Web Services,L. Lo Iacono; H. Rajasekaran,"Access to Web services via Web front-ends provides all the advantages related to browser-based thin clients and is therefore a common setting. However, providing end-to-end security between Web browsers and Web services is currently not feasible due to the inadequate support for Web service security in Web browsers. Moreover, the current SOAP APIs offered by the major browsers are incompatible with one another making the task of providing a uniform solution to address this problem difficult. This paper describes a method by which the Web service communication between a Web browser and a Web service is protected end-to-end using Web service security thereby providing a means to overcome this limitation.",10.1109/ICC.2009.5199439,; Web services;Simple object access protocol;Portals;XML;Data security;Service oriented architecture;Environmental management;Communications Society;National electric code;Laboratories; application program interfaces;online front-ends;portals;security of data;software architecture;Web services; Web service security;secure browser-based access;Web front-ends;browser-based thin clients;end-to-end security;Web browsers;SOAP API;service-oriented architecture;Web portal,,1,1,,
,Towards a Distinction between Application State Resources and Data Resources in ROA,"Lira, H A and Dantas, J R V and De Azevedo Muniz, B and Felix, L H S and Nunes, T M and Farias, P P M","In the context of ROA (Resource Oriented Architecture), this paper proposes a distinction between two REST (Representational State Transfer) resources types: The Data Resources (DR) and the Application State Resources (ASR). DR are representations of the application data, at the persistence layer, or remote functions that can be reused in several applications. The ASR represents RESTful application states. An ASR has to follow the HATEOAS(Hypermedia as the Engine of Application State) principle by including links to the next possible application states. The proposed distinction between ASR and DR can be seen as an alternative approach to the distinction between pure RESTful web services and Web APIs. Furthermore, this paper models the ASR transitions using BPMN (Business Process Model and Notation). The BPMN workflow can properly represent the application states. © 2015 IEEE.",10.1109/CIT/IUCC/DASC/PICOM.2015.134,REST;BPMN;Web Services;Choreography; Servers;Web services;Electronic mail;Business;Protocols;Representational state transfer;Engines; application program interfaces;business data processing;software architecture;Web services; application state resources;data resources;ROA;resource oriented architecture;REST resources types;representational state transfer;DR;application data representation;persistence layer;remote functions;RESTful application states;HATEOAS;hypermedia-as-the-engine-of-application state principle;RESTful Web services;Web API;ASR transitions;BPMN workflow;business process model-and-notation,,1,1,,
