Accomodation/Meals,Booked through,Class of travel,Destination,Duration of Visit (Days),Mode of transport,Name,Other (including hospitality given),Purpose of trip,Start date of trip,Total Cost of Use of Official Secure Car,"Total cost, including all visas, accommodation, travel, meals etc. ()"
,Redfern,Standard,Bristol Temple Meads,,Rail,"Tribe, Mr. Lee Kelvin",,External Meeting,13/12/2016,,127.5
,,,,,T&S - Hotels,"Arnott, Dr. Robert Henry",,ASLEF strike - only way of attending work,14/12/2016,,100
Hotel Room,Redfern,,London Heathrow,,,"Eastaugh, Mr. Tony",,External Meeting,14/12/2016,,167.6
,,,,,"T&S - Planes, Trains and Automobiles","Hayes, Mr. Simon Thomas",,Meal at Leopold Hotel,14/12/2016,,51
,,,,,"T&S - Planes, Trains and Automobiles","Hayes, Mr. Simon Thomas",,Oyster fare to train station,14/12/2016,,2.4
,,,,,"T&S - Planes, Trains and Automobiles","Hayes, Mr. Simon Thomas",,Dinner for 3 SCS,14/12/2016,,51
Hotel Room,Redfern,,Doncaster/Sheffield,,,"Hayes, Mr. Simon Thomas",,External Meeting,14/12/2016,,75.6
,Redfern,Standard,Sheffield,,Rail,"Hayes, Mr. Simon Thomas",,External Meeting,14/12/2016,,86
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Overnight stay in Glasgow.  Dinner.,14/12/2016,,26
,,,,,Taxis,"Lloyd, Ms. Myrtle",,Taxi from home to railway station.  No suitable public transport and No Parking spaces in car park.,14/12/2016,,7.5
,,,,,Taxis,"Lloyd, Ms. Myrtle",,Taxi from Glasgow Central to Glasgow APC,14/12/2016,,6.4
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,Left home at 6:30,14/12/2016,,4.25
Hotel Room,Redfern,,Glasgow,,,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,14/12/2016,,75.6
,Redfern,Standard,Glasgow Central,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,14/12/2016,,183
,,,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,Taxi from airport to hotel,14/12/2016,,25
,,Standard/Economy,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,train to airport in uk,14/12/2016,,22
,,,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,this was the cost of the venue accomodation,14/12/2016,,167.58
,Redfern,Economy,Ottawa,,Air Tickets,"Morrison, Mr. Paul Noble Wilson",,External Meeting,14/12/2016,,1161.85
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,trvel from 2MS to DCMS for Ministerial meeting to discuss child sexual abuse in sport.,14/12/2016,,19.1
,,,,,Taxis,"Oppenheim, Mr. Jeremy",,travel from DCMS to HO following Ministerial meeting.,14/12/2016,,18.92
,Redfern,Standard,London Zones 1-4,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,14/12/2016,,12.6
,Redfern,Standard,Birmingham New St,,Rail,"Williams, Ms. Wendy",,External Meeting,14/12/2016,,25
,,,,,T&S - Hotels,"Arnott, Dr. Robert Henry",,ASLEF strike - only way of attending work,15/12/2016,,125
,Redfern,,,,Billback Fee,"Eastaugh, Mr. Tony",,External Meeting,15/12/2016,,0.6
,,,,,Taxis,"Lloyd, Ms. Myrtle",,Taxi from Glasgow APC to Glasgow Central,15/12/2016,,3.3
,,,,,Taxis,"Lloyd, Ms. Myrtle",,Taxi from Chester Station to home.  No suitable public transport.,15/12/2016,,8
,Redfern,Standard,Chester,,Rail,"Lloyd, Ms. Myrtle",,INTERNAL MEETING,15/12/2016,,93
,,,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,travel to conference,15/12/2016,,25
,,,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,travel from hotel to airport,15/12/2016,,25
,,,,,"T&S - Planes, Trains and Automobiles","Thomson, Mr. Mark David",,Oyster ticket for Zone 1 tube travel,15/12/2016,,4.8
,,,,,T&S - Overseas Expenses,"Williams, Mr. Glyn",,Taxi to and from home to Heathrow - early start and late finish and taxis in Belfast,15/12/2016,,98
,Redfern,Economy,Belfast City,,Air Tickets,"Williams, Mr. Glyn",,External Meeting,15/12/2016,,294.64
Hotel Standard- One- Double,Redfern,,Birmingham,,,"Williams, Ms. Wendy",,External Meeting,15/12/2016,,85.6
,Redfern,Standard,Birmingham New St,,Rail,"Williams, Ms. Wendy",,External Meeting,15/12/2016,,56
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,15/12/2016,,11
,,,,,T&S - Subsistence,"Williams, Mr. Glyn",,Business Trip,15/12/2016,,9.3
,,,,,T&S - Hotels,"Arnott, Dr. Robert Henry",,ASLEF strike - only way of attending work,16/12/2016,,92
,,,,,Taxis,"Clarke, Mr. Richard William John",,travel from airport,16/12/2016,,70
,,,,,Miscellaneous,"Clarke, Mr. Richard William John",,Travel to Geneva to meet international delegation,16/12/2016,,603.61
,,Standard/Economy,,,T&S - Overseas Expenses,"Morrison, Mr. Paul Noble Wilson",,return from airport,16/12/2016,,22
,,,,,Taxis,"Thomson, Mr. Mark David",,Urgent travel to attend 9.30 EMB meeting,16/12/2016,,45
,Redfern,Standard,Reading Station,,Rail,"Tribe, Mr. Lee Kelvin",,External Meeting,16/12/2016,,45.8
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,16/12/2016,,52
,Redfern,Economy,Bristol,,Web Transaction,"Williams, Ms. Wendy",,External Meeting,19/12/2016,,40.79
,,,,,Taxis,"Lloyd, Ms. Myrtle",,Taxi from home to railway station. No suitable public transport.,20/12/2016,,8
,,,,,Taxis,"Lloyd, Ms. Myrtle",,Taxi from Chester station to home.  No suitable public transport. Longer route due to road works.,20/12/2016,,9.4
,,,,,T&S - Subsistence,"Lloyd, Ms. Myrtle",,"Left home early, breakfast on train.",20/12/2016,,4.25
,Redfern,Standard,Birmingham New St,,Rail,"Lloyd, Ms. Myrtle",,External Meeting,20/12/2016,,75.8
,,,,,Miscellaneous,"Tribe, Mr. Lee Kelvin",,I've checked and reclaim is in line with policy (Lesley Dec 16). Fellowship level.,20/12/2016,,216
,Redfern,Standard,London Euston,,Rail,"Cunningham, Mr. Michael Bernard",,External Meeting,21/12/2016,,291
,Redfern,Standard,Preston,,Rail,"Cunningham, Mr. Michael Bernard",,External Meeting,21/12/2016,,173
,,,,,Miscellaneous,"Ind, Mr. Hugh Timothy",,Working Lunch for IE Senior Leadership Team Meeting,21/12/2016,,74.9
,,,,,T&S - Overseas Expenses,"Williams, Mr. Glyn",,"Taxi from home to Heathrow, very early start and Heathrow Express back",21/12/2016,,67
,Redfern,Business,Dublin,,Air Tickets,"Williams, Mr. Glyn",,External Meeting,21/12/2016,,266.05
,Redfern,Economy,London Heathrow,,Air Tickets,"Williams, Mr. Glyn",,External Meeting,21/12/2016,,145.1
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,21/12/2016,,140
,,,,,T&S - Subsistence,"Williams, Mr. Glyn",,Business Trip,21/12/2016,,9.3
,,Standard/Economy,,,"T&S - Planes, Trains and Automobiles","Duffy, Mr. Philip",,Vist to Coventry Postal HUb,22/12/2016,,98.8
,Redfern,Standard,Folkestone Central,,Rail,"Sutton, Mr. Kenneth David",,External Meeting,22/12/2016,,40.2
,Redfern,Standard,Newcastle,,Rail,"Williams, Ms. Wendy",,External Meeting,22/12/2016,,65
,,,,,Taxis,"Riach, Ms. Shona",,Travel to HPDS Ditchley Park Roundtable,28/12/2016,,14.2
,,,,,"T&S - Planes, Trains and Automobiles","Oppenheim, Mr. Jeremy",,Annual subscription to Enterprise Car Club,31/12/2016,,30
