Billing Address,Liability Start Date,Property Address,Ratepayer,Net Debit,Property Reference,RV
"Energy House, Woolpit Business Park, Woolpit, Bury St Edmunds, Suffolk, IP30 9UP",01/04/2013,"Electricity Network Co Ltd, Oxford Road, Halifax, HX1 2QY",Electricity Network Co Ltd,69.7,68951704,144
"P O Box 6079, Wolverhampton, WV1 9RA",11/07/2010,"Airwave (WY0908A), High Barn Farm, Parkin Lane, Todmorden           OL14 7JF",Airwave 02 Ltd,1500.4,78352706,3100
,17/02/2014,"Pear Tree Garage, Halifax Old Road, Hipperholme, Halifax              HX3 8PJ",,152.46,65232714,6300
,24/03/2012,"4 South Parade, Stainland, Halifax, HX4 9HW",,0,68636004,1775
,01/04/2012,"Dominion House, Denholmegate Road, Hipperholme, Halifax              HX3 8JQ",Cafe Bardolino Ltd,4763.78,64812747,11250
,06/04/2012,"101 Hopwood Lane, Halifax, HX1 4HB",,0,65364101,3000
,31/01/2014,"Showroom At Pine Furniture, Godley Road, Halifax, HX3 6AH",,1056.06,65184707,7700
,26/02/2014,"6 St James Road, Halifax, HX1 1YS",,0,68728006,2550
"Unit 18 & 19, Hanson Lane Enterprise Centre, Hanson Lane, Halifax, HX1 5PG",01/11/2013,"Unit 18, Hansonlane Enterprise Centre, Hanson Lane, Halifax             HX1 5PG",The Hive [Halifax] Ltd,0,65264746,5900
,06/01/2014,"3 Brook Street, Todmorden, OL14 5AJ",,0,78068003,3650
"International House, Stanley Boulevard, Hamilton Int Tech Park, Glasgow, G72 0BN",01/04/2013,"Independent Gas Transporter, Sykes Mill, Club Lane, Halifax              HX2 8DD",Energetics Gas Ltd,234.74,64628856,485
,01/04/2014,"Bailey's Sports Bar, Hollins Mill, Rochdale Road, Todmorden           OL14 6SA",,3872,78400700,8000
,01/04/2011,"Unit 1 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BS",,0,77648718,2175
"Suite 1 2nd Floor, Burlees House, Hangingroyd Lane, Hebden Bridge, HX7 7DD",01/05/2012,"Unit 17 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",Setbray Properties Ltd,822.8,76560734,1700
,01/04/2012,"Square Garage, Rochdale Road, Todmorden, OL14 6SX",,0,78400811,3200
"Simmonds & Company, Crown House, 217 Higher Hillgate, Stockport, Cheshire, SK1 3RB",14/02/2014,"Unit B, Harley House Mill, Harley Street, Todmorden           OL14 5JE",Kinect Build Ltd (In Liquidation),2662,78208707,5500
,01/02/2014,"57 Saddleworth Road, Greetland, Halifax, HX4 8AG",,0,68444057,3100
"Devonshire Green House, 14 Fitzwilliam Street, Sheffield, S1 4JL",24/02/2014,"Office 2 3rd Floor, District Bank Chambers, George Square, Halifax             HX1 1HF",City Estates (Uk) Ltd,3677.8,65140705,7400
"C/O Mansfield House, The Carraige Drive, Holts Lane, Greetland, HX4 8HW",01/04/2014,"Unit 3A, Ladyship Business Park, Mill Lane, Halifax              HX3 6TA",Fast Doors Direct Ltd,1539.75,65808745,8300
,27/06/2012,"Unit 2, 535 Bradford Road, Bailiff Bridge, Brighouse            HD6 4DL",,319.44,29084835,6600
"Accounts Payable, Wall Island, Birmingham Road, Lichfield, WS14 0QP",01/08/2012,"Suite 2B First Floor, Fountain Chambers, Fountain Street, Halifax              HX1 1LW",Voyage Care Ltd,919.6,65100717,1900
,31/08/2011,"17/21 West End, Hebden Bridge, HX7 8UQ",,0,76576715,4250
"19 Albion Street, Halifax, HX1 1DU",25/06/2012,"1ST Flr Market Stall 77-79, Market Hall, Borough Market, Halifax              HX1 1DZ",Calderdale Mbc Markets Manager,0,64288822,1575
"Unit 6, Ripponden Business Park, Oldham Road, Ripponden, HX6 4FF",01/07/2012,"Ground Floor Unit 12, Ripponden Business Park, Oldham Road, Ripponden            HX6 4FF",Elcons Employment Law Consultants Ltd,3920.4,77408763,8100
,10/07/2012,"194 King Cross Road, Halifax, HX1 3JP",,1132.67,65516194,7800
"C/O Jones Lang Lasalle, Business Rates, One Piccadilly Gardens, Manchester, M1 1RG",26/01/2013,"First Floor, 24/26 Commercial Street, Brighouse, HD6 1AQ",Santander,4025.7,29196726,8100
,01/08/2012,"Unit 3 Lower Brear, Leeds Road, Halifax, HX3 7AG",,206.52,65612725,6400
"Fao Jonathan Robertson, Unit 26 2nd Floor, The Town Hall, St Georges Street, Hebden Bridge, HX7 8ET",20/08/2012,"Unit 26 2ND Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Kreative Bomb Ltd,0,76500721,2175
"Fao Richard Allen, Unit Hm 27 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",01/11/2012,"Unit HM27 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",Carbon System Preforms Ltd,0,65344943,1875
,01/04/2012,"Unit 308 3RD Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,0,56212748,350
,01/04/2012,"Unit 102 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,0,56212723,410
,01/04/2012,"Unit 4E Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",,0,56212758,650
"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",01/04/2012,"Unit 104 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",Warmco Space Heating Ltd,0,56212725,600
,01/04/2012,"Unit 105 1ST Flr South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",Eurosonix Freight Management Ltd,0,56212726,920
,04/01/2013,"1st Floor, 2/4 Keighley Road, Halifax, HX3 6QP",,726,65484736,1500
"19 Albion Street, Halifax, HX1 1DU",01/06/2013,"Balcony Store, 29 Borough Market, Halifax, HX1 1DZ",Calderdale Mbc Markets Manager,0,64288817,455
,01/05/2013,"Office 15 Ground Floor, The E W Innovation Centre, Hopwood Lane, Halifax              HX1 5ER",Attollo Elevator Ltd,0,64242713,4250
"Bridgefield Mill, Bridgefield Works, Elland Bridge, Elland, HX5 0SG",01/04/2013,"Unit 10 Bridgefield Mills, Bridgefield Works, Elland Bridge, Elland               HX5 0SG",Compass Bridge Ltd,0,56080723,2850
,01/12/2012,"Office 2 Suite 1, 1ST Flr Burlees House, Hangingroyd Lane, Hebden Bridge        HX7 7DD",,0,76244733,1125
,06/01/2013,"360 Old Lane, Halifax, HX3 5QN",Red Eagle Motors Ltd,0,68132360,3700
,13/08/2013,"11 Crown Street, Hebden Bridge, HX7 8EH",,0,76176724,10250
,01/04/2010,"14 Windmill Court, Keighley Road, Illingworth, Halifax              HX2 8YB",,774.4,69601014,1600
"Unit 11, Wellington Business Centre, Quebec Street, Elland, HX5 9AS",09/05/2012,"Ground Floor Unit 3, Wellington Mills, Quebec Street, Elland               HX5 9AS",Hilton Process Solutions Ltd,1621.4,56196735,3350
,11/09/2013,"Room 2, Council Offices, Burnley Road, Luddendenfoot       HX2 6AA",,0,64448716,1800
,12/07/2013,"Unit 28, Sdh Industrial Estate, West Street, Sowerby Bridge       HX6 3BT",,3872,76648762,8000
,01/04/2013,"263 Queens Road, Halifax, HX1 4NS",,0,68308263,5500
,01/11/2013,"Moorside Garage, Keighley Road, Halifax, HX2 8AR",,0,65484706,5300
"48a Spring Street, Spring Wood, Huddersfield, HD1 4AZ",14/10/2013,"Suite 3 First Floor, 22 Fountain Street, Halifax, HX1 1LW",Bee-Suree Ltd,0,65100700,3800
"International House, Stanley Boulevard, Hamilton International Technol, Glasgow, G72 0BN",01/04/2013,"Energetics Electricity Ltd, Former Sykes Mill, Club Lane, Halifax              HX2 8DD",Energetics Electricity Ltd,116.16,64628857,240
,16/08/2011,"11 Town Hall Street, Sowerby Bridge, HX6 2EA",,0,77600011,4250
,01/10/2011,"34 Wharf Street, Sowerby Bridge, HX6 2AE",Whitakers Opticians Ltd,3823.6,77652034,7900
,23/07/2011,"Hollins Mill Lane, Sowerby Bridge, HX6 2QG",,0,77276705,2750
"1st Floor, 1 Russell Street, Halifax, HX1 1RL",10/11/2011,"58 Haley Hill, Halifax, HX3 6ED",Paradise Tattoos Ltd,1524.6,65224058,3150
,04/11/2011,"Unit 1 Carlton Mills, South Street, Halifax, HX1 2TE",,0,68640700,880
"29/29a Gibraltar Road, Halifax, HX1 4HF",01/04/2011,"29/29A Gibraltar Road, Halifax, HX1 4HF",The Trustees Of Jamia Mohammadiyah,954.24,65168707,9600
"Po Box 6079, Wolverhampton, WV1 9RA",13/01/2011,"Site Ref (53279), Mas Medical, Armytage Road, Brighouse            HD6 1QF",Mobile Broadband Network Ltd,2904,29020788,6000
"4 Crown Street, Hebden Bridge, HX7 8EH",01/04/2010,"4 Crown Street, Hebden Bridge, HX7 8EH",Moor Moves Ltd,0,76176725,11000
"Unit 8, Wellington Mills, Quebec Street, Elland, HX5 9AS",28/10/2013,"Unit 8, Wellington Business Centre, Quebec Street, Elland               HX5 9AS",M.A.S.Medical Ltd,3388,56196767,7000
,02/03/2014,"22 Silver Street, Halifax, HX1 1HS",,49.22,68580022,6100
,05/02/2014,"105 Haley Hill, Halifax, HX3 6EE",,0,65224716,2000
,09/01/2012,"Cross Roads Inn, Wainstalls, Halifax, HX2 7TB",,2894.44,64128700,9700
,23/03/2012,"196 Pellon Lane, Halifax, HX1 5RD",,0,68236196,2150
,01/04/2012,"29 Union Street, Halifax, HX1 1PR",,3226.68,69144029,10000
"Unit 6 Gauxholme Mill, Bacup Road, Todmorden, OL14 7PN",01/02/2012,"Unit 6, Gauxholme Industrial Estate, Bacup Road, Todmorden           OL14 7PN",Allied Locks & Leaks Ltd,0,78024731,4050
,01/01/2012,"9 Spring Hall Lane, Halifax, HX1 4TX",,0,68680009,2000
,12/10/2013,"Part 1ST & 2ND Floor, 16-18 Union Street, Halifax, HX1 1PR",,477.12,69144715,960
,03/08/2013,"Land At Sandbed Garage, Burnley Road, Sandbed, Hebden Bridge        HX7 6PT",,0,76456705,5400
,01/02/2014,"13 Northgate, Halifax, HX1 1UR",N & Z Associates Ltd,5687,68096013,11750
,01/04/2014,"20 Wharf Street, Sowerby Bridge, HX6 2AE",Bridge Antiques And Furniture Ltd,0,77652020,4000
"Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",01/04/2014,"Unit 6B Mile Cross Works, Gibbet Street, Halifax, HX1 4JQ",Specialised Coatings Holdings Ltd,4025.7,65164851,8100
"26 Horton Street, Halifax, HX1 1PU",01/08/2012,"2nd Floor, 26 Horton Street, Halifax, HX1 1PU",Dance 4 All Ltd,0,65388705,5600
"26 Horton Street, Halifax, HX1 1PU",01/08/2012,"First Floor, 26 Horton Street, Halifax, HX1 1PU",Dance 4 All Ltd,726,65388703,1500
"Recreation Ground, Stainland Road, Stainland, Halifax, HX4 9HF",04/09/2012,"1885 The Pub, Westgate, Stainland, Halifax              HX4 9HN",1885 The Pub Limited,564.68,69404702,7000
"30 Hullen Edge Road, Elland, HX5 0QY",26/09/2011,"21 Town Hall Street, Sowerby Bridge, HX6 2EA",Overgate Hospice,0,77600021,9600
,01/04/2011,"Railway Hotel, 1 Nursery Lane, Ovenden, Halifax              HX3 5SJ",,4840,68104708,10000
,13/02/2012,"Office At Bedlam Farm, Keighley Road, Pecket Well, Hebden Bridge        HX7 8RG",,0,76316706,660
,01/04/2012,"18 Law Lane, Southowram, Halifax, HX3 9QU",,0,65592018,2400
"Unit 7, Victoria Works, Victoria Road, Hebden Bridge, HX7 8LN",01/05/2014,"Unit 7 Victoria Works, Victoria Road, Hebden Bridge, HX7 8JX",Hebden Bridge Alternative Technology Centre,0,76560717,11000
,10/05/2014,"Sunnyfield, Toothill Bank Terrace, Brighouse, HD6 3EZ",,0,29586700,1925
,01/11/2012,"308b/C Salterhebble Hill, Halifax, HX3 0QT",,0,68452706,3600
,01/11/2012,"1 Ivy Terrace, Lightcliffe, Halifax, HX3 8BD",,0,65444001,2900
,01/03/2012,"Unit 8A, Mearclough Works, Mearclough Road, Sowerby Bridge       HX6 3LF",,0,77340767,1850
,04/05/2012,"Unit 11 Victoria Park, Lightowler Road, Pellon, Halifax              HX1 5ND",,980.92,65626719,7600
,01/08/2012,"19-21 Queens Road, Halifax, HX1 3NS",Fisher Marine Ltd,0,68308019,5900
,15/12/2012,"59 Hanson Lane, Halifax, HX1 5NX",,0,65264757,2075
,15/11/2011,"R/O 7-10 Town Hall Buildings, Elland, HX5 0EU",,0,56236704,4150
"Unit 1 Rudgate Court, Walton, Near Wetherby, West Yorks, LS23 7BF",30/01/2013,"Croftmyl, Gf Office A7, West Parade, Halifax              HX1 2EQ",C F K Developments (Croft Myl) Llp,0,69360753,2250
"Economic Assets Team, Lateral 8, City Walk, Leeds, LS11 9AT",01/04/2012,"8 King Cross Street, Halifax, HX1 2SH",Homes & Communities Agency,0,65520006,6300
,27/06/2012,"Stores, Portland Place, Halifax, HX1 2QN",,0,68272707,2025
,09/08/2013,"Unit 18 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",,0,76560735,1700
,12/02/2013,"Baxter Lane Works, Northowram, Halifax, HX3 7EF",,0,64180700,2350
"C/O Warren Sheridan, 2 Merrybent Street, Todmorden, OL14 6AF",01/01/2014,"Unit 3, Hope Mill, Crescent Street, Todmorden           OL14 5HA",Carbon Copies Ltd,0,78547703,2350
"Eastfield Mills, Belmont Street, Horley Green, Halifax, HX3 6AT",09/12/2009,"Telecommunications Mast 3G, Site HX0001 Eastfield Mills, Belmont Street, Halifax              HX3 6AT",J & G Ainley (Tow Bars) Ltd,0,64236717,5600
,01/06/2013,"Unit B Wood Mill, Halifax Road, Todmorden, OL14 6EE",,0,78192823,4400
"21a Halifax Road, Bramsche Square, Todmorden, OL14 5AG",20/11/2013,"21A Back Halifax Road, Todmorden, OL14 5AG",Finestreet Ltd,0,78192771,1075
"Land And Property Services, Northgate House, Northgate, Halifax, HX1 1UN",19/07/2012,"17 The Colonnade, Piece Hall, Halifax, HX1 1RE",Calderdale Mbc,0,68252755,2375
,13/08/2012,"38/40 Illingworth Road, Illingworth, Halifax, HX2 9EN",,0,65424700,5200
,01/09/2012,"16 Market Street, Hebden Bridge, HX7 6AA",,0,76360016,8200
,23/07/2012,"14 Commercial Street, Halifax, HX1 1TA",,1714.18,64660014,8500
"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",01/10/2013,"Unit 16E, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Bizspace Ltd,0,64628791,1250
,01/05/2013,"Stod Fold Brewery, 6 Stod Fold, Mixenden, Halifax              HX2 8XL",,0,68854703,2750
,24/01/2014,"Unit 2 Stotts Island, 17 Wakefield Road, Brighouse, HD6 1PE",,0,29608759,9100
,07/02/2014,"Unit 69 Bowers Mill, Branch Road, Barkisland, Halifax              HX4 0AD",,0,64344753,3050
,01/04/2014,"98a Free School Lane, Halifax, HX1 2XE",Buckwell News Ltd,4763.78,65108702,11250
,01/01/2014,"Garage Unit 7A, Woodman Works, South Lane, Elland               HX5 0PA",,0,56220769,4500
,01/02/2014,"46 Wharf Street, Sowerby Bridge, HX6 2AE",,0,77652046,3650
,18/08/2012,"14 South Parade, Halifax, HX1 2LY",Hyline Fabrications Ltd,100.02,68632713,6200
"Sovereign House, Fao Mital Shah, 1 Albert Place, Finchley, London, N3 1QB",01/09/2011,"Unit 10b, Calderdale Business Park, Club Lane, Halifax             HX2 8AX",Bizspace Ltd,0,64628748,930
"Philmar House, Highroad Well Works, Gibbet Street, HX2 0AR",01/07/2012,"Highroadwell Works, Gibbet Street, Halifax, HX2 0AR",Elland Steel Structures Ltd,1694,65164821,3500
,21/10/2012,"228 Hanson Lane, Halifax, HX1 4QW",,0,65264228,2950
"Unit 8 Ripponden Business Park, Oldham Road, Ripponden, Sowerby Bridge, HX6 4FF",25/06/2012,"Unit 8 Ff Ripponden Bus Park, Oldham Road, Ripponden, Sowerby Bridge       HX6 4FF",Qubix Ltd,319.44,77408748,6600
,29/10/2012,"Unit 16, Calderdale Business Park, Club Lane, Halifax              HX2 8AX",Focus Validation Services Ltd,0,64628834,1200
,03/12/2012,"32 Wharf Street, Sowerby Bridge, HX6 2AE",,0,77652742,4350
,01/09/2012,"Basement, Machpelah Works, Machpelah, Hebden Bridge       HX7 8AU",,0,76356703,3200
"Unit 3 Princess Court Business, 17 Chapeltown, Halifax, HX1 5SR",26/05/2012,"Unit 3, Princess Court Business Cntr, Chapeltown, Halifax              HX1 5SR",Buzzsolomoto Ltd,5101.74,64538713,11500
"Unit H9, Premier Way, Lowfields Business Park, Elland, HX5 9HF",01/03/2012,"Car Park Opposite Unit H9, Premier Way, Lowfields Business Park, Elland               HX5 9HF",B C A Leisure Ltd,1210,56174800,2500
"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",01/04/2012,"4TH Floor South Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",Warmco Space Heating Ltd,0,56212765,2700
,17/08/2012,"22 Cow Green, Halifax, HX1 1HX",,0,64700022,5100
,19/01/2013,"1 Club Houses, Ovenden, Halifax, HX2 8AY",,0,64624001,1800
"Hebden Bridge Town Hall, St George's Street, Hebden Bridge, HX7 7BY",20/08/2012,"Committee Room 1ST Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",Hebden Bridge Community Association,52.68,76500737,5300
,01/03/2013,"9 West Street, Sowerby Bridge, HX6 3AP",,0,77648009,1625
"Unit 6, S D H Industrial Estate, West Street, Sowerby Bridge, HX6 3BT",13/02/2013,"Unit 6 Sdh Industrial Estate, West Street, Sowerby Bridge, HX6 3BT",Bray Storage Ltd,0,76648746,2650
,01/02/2013,"Unit 17 Fairlea Mill, Ellen Holme Lane, Luddendenfoot, Halifax             HX2 6EP",,0,65020717,3400
,20/08/2012,"Office Suite D203, Dean Clough, Halifax, HX3 5AX",,0,64788820,2175
,01/01/2013,"13 West Street, Sowerby Bridge, HX6 3AP",,0,77648013,3700
"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",01/02/2013,"Unit 4F Grd Floor North Side, Exchange Mill, Saddleworth Road, Elland               HX5 0RY",Warmco Space Heating Ltd,0,56212759,1225
,01/06/2012,"1 Burnley Road, Mytholmroyd, Hebden Bridge, HX7 5LH",,0,76088001,3400
,01/02/2013,"18 Halifax Road, Todmorden, OL14 5AD",,0,78192018,5900
"Fao Lisa Barnes, 4 King Edwards Court, King Edwards Square, Sutton Coldfield, West Midlands, B73 6AP",01/04/2013,"Parkfield Chapel Of Rest, South Lane, Elland, HX5 0HQ",Dignity Funerals Ltd,3146,56220705,6500
,01/02/2015,"23B Bull Close Lane, Halifax, HX1 2EF",,0,64432716,2700
"8 St Stephen Street, Manchester, M3 6AY",01/04/2015,"Units 1, 2 & 3 Causey Hall, Dispensary Walk, Halifax, HX1 1QL",Bamford Developments Limited Pension Scheme,0,64824710,8900
,01/04/2015,"Unit G3 A, Tenterfields Business Park, Burnley Road, Luddendenfoot        HX2 6EQ",,0,64448816,4150
,01/04/2015,"UNIT19 Woodman Works, South Lane, Elland, HX5 0PA",,5203,56220777,10750
,01/10/2014,"Unit HM26 Holmfield Mills, Holdsworth Road, Halifax, HX3 6SN",,0,65344812,3000
,01/06/2015,"19 Stainland Road, Greetland, Halifax, HX4 8AD",,0,68772019,2600
"541 Halifax Road, Hipperholme, Halifax, HX3 8ER",04/02/2013,"Unit 1, Hipperholme Business Park, Halifax Road, Hipperholme          HX3 8ER",Unique Campers Ltd,1626.24,65232766,8400
"Unit 16, Heaton Industrial Park, Bradford Road, Brighouse, HD6 1EA",01/02/2015,"Units 5-6, Heaton Industrial Park, Bradford Road, Brighouse            HD6 4DJ",Wyke Plastics Ltd,5203,29080799,10750
,31/03/2015,"56 Oxford Lane, Siddal, Halifax, HX3 9BJ",,0,68168056,1400
"C/O Throstle Nest, Warley Wood Lane, Luddendenfoot, Halifax, HX2 6BW",19/09/2015,"1 The Long Mill, Bowes Yard, Stainland Road, Greetland            HX4 8AD",B W Sipp Trustees Limited,0,64254756,8300
"C/O Rob Shaw, 19 Greengates Avenue, Wyke, Bradford, BD12 9LQ",01/08/2015,"Office Suite E140, Dean Clough Mills, Halifax, HX3 5AX",B & C Electrical Ltd,774.4,64296741,1600
,12/10/2015,"Unit 1 Windsor Works, Victoria Road, Hebden Bridge, HX7 8JX",,0,76560718,1375
,01/10/2015,"Unit 6 Victoria Works, The Boathouse, Wharf Street, Brighouse            HD6 1PP",,0,29636719,1625
"Office Suite E323, Dean Clough Mills, Halifax, HX3 5AX",01/10/2015,"Office Suite D205, Dean Clough Mills, Halifax, HX3 5AX",Pathway Software (Uk) Ltd,0,64788830,1650
"Office Suite E345, Dean Clough, Halifax, HX3 5AX",18/05/2015,"Office Suite E240, Dean Clough Mills, Halifax, HX3 5AX",Dean Clough Ltd,0,64296747,3200
,24/09/2015,"1 White Hart Fold, Todmorden, OL14 7BD",White Rabbit3 Ltd,0,78524704,4200
,14/12/2015,"George Street, Mytholmroyd, Hebden Bridge, HX7 5DT",,0,76224700,3250
,01/03/2015,"Unit K, Ridings Business Park, Hopwood Lane, Halifax              HX1 3TT",,0,64242832,4600
"Registered Office, Rigby Lennon & Co, 20 Winmarleigh Street, Warrington, WA1 1JY",09/10/2015,"Office 20, 11 Owler Ings Road, Brighouse, HD6 1EJ",Hmo Properties Ltd,919.6,29452747,1900
,26/10/2015,"Office 17 Ground Floor, 11 Owler Ings Road, Brighouse, HD6 1EJ",,0,29452732,1100
,14/10/2015,"Office Suite D107, Dean Clough Mills, Halifax, HX3 5AX",Make That Change Ltd,0,64296734,1325
,22/01/2016,"13 New Road, Mytholmroyd, Hebden Bridge, HX7 5DZ",,0,76408013,2450
,01/10/2015,"12B Holdsworth Road (Back), Holmfield, Halifax, HX3 6SN",,1815,65344822,3750
,11/07/2015,"Unit 2 Culver Works, Hopwood Lane, Halifax, HX1 5EZ",,262.16,64242812,6500
,01/07/2015,"Unit 2B, Gaukroger Lane, Halifax, HX1 2DF",,0,65949702,4050
"217 King Cross Road, Halifax, HX1 3JL",16/07/2015,"The Cobbett Centre, Village Street, Norwood Green, Halifax              HX3 8QG",Sunbridge Road Investments Ltd,0,69208705,1150
"Unit 2, Greenhill Industrial Estate, Mytholmroyd, Hebden Bridge, HX7 5QF",01/06/2014,"Unit 2H Greenhill Ind Est, Mytholmroyd, Hebden Bridge, HX7 5QF",Litemania.Co.Uk Limited,2057,76252821,4250
,06/06/2015,"Suite 9 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",,0,76400726,870
,01/04/2014,"Adj Chilli Lounge, Huddersfield Road, Halifax, HX3 0NS",,0,65412724,2175
,01/04/2015,"Unit E, Nanholme Mill, Shaw Wood Road, Todmorden           OL14 6DA",,0,78416704,1625
"North Vale Mills, Bradford Road, Brighouse, HD6 4DJ",01/03/2015,"Part 4TH Floor, Northvale Mills, Bradford Road, Brighouse            HD6 4DJ",North Vale Doubling Co Ltd,943.8,29084861,1950
"Warmco Industrial Park, Manchester Road, Mossley, Ashton Under Lyne, OL5 9AY",01/01/2016,"Unit 8, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",Warmco Space Heating Ltd,0,29284741,2700
,01/05/2015,"Unit 23, Asquith Bottom Mills, Sowerby Bridge, HX6 3BS",,0,77024784,2550
"4a Greengate, Cadale Park, Harrogate, HG3 1GY",01/04/2015,"Unit 3A, Brunswick Industrial Estate, Brassey Street, Halifax              HX1 2EL",Marrtree Investments Limited,1524.6,64352726,3150
,30/10/2014,"Unit 1A, Charles Street, Elland, HX5 0NF",,0,56040709,3600
,30/10/2014,"Unit 2, 32 Charles Street, Elland, HX5 0NF",,0,56040711,1900
,01/04/2010,"Cherry Tr & Heather Bk Cott, Mawson Place, Barkisland, Halifax              HX4 0BL",,0,65766702,2900
,05/05/2015,"Ground Floor, West Yorkshire Fire Station, Hollins Mill Lane, Sowerby Bridge       HX6 2QG",,0,77276728,2200
,27/07/2015,"142 Queens Road, Halifax, HX1 3XY",,0,68308142,4450
"Cromwell House, 421 Elland Road, Brighouse, HD6 2RG",07/07/2015,"Level 1 Warehouse, Cromwell House, Elland Road, Brighouse            HD6 2RG",Vertical Transportation Projects Ltd,696.96,29236825,7200
,01/06/2015,"Unit 11 First Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",,0,76500755,1475
,01/12/2015,"Fairlea Auto Salvage, Unit 12 Fairlea Mill, Ellen Holme Lane, Luddendenfoot        HX2 6EP",,629.96,65020732,7100
,01/12/2015,"5 Friendly, Burnley Road, Sowerby Bridge, HX6 2UG",,1803.48,77108731,8600
,23/11/2015,"66 Southgate, Elland, HX5 0PS",,0,56224066,5800
,12/01/2016,"Office 5 Britannia Works, Garden Street North, Halifax, HX3 6AE",,0,65132707,3550
,12/01/2016,"Office 1 Britannia Works, Garden Street North, Halifax, HX3 6AE",,0,65132704,1675
,26/10/2015,"70 Hopwood Lane, Halifax, HX1 4DG",,1197.9,65364070,2475
,01/10/2015,"Unit 2B Beehive Mills, Hebble End, Hebden Bridge, HX7 6HJ",,0,76256764,3350
,01/04/2015,"Storeroom 16 Market Hall, Brook Street, Todmorden, OL14 5AJ",,7.74,78068746,16
,01/04/2015,"Stall 23 Market Hall, Brook Street, Todmorden, OL14 5AJ",,0,78068714,1375
"Energy House, Woolpit Business Park, Woolpit, Bury St Edmunds, IP30 9UP",01/04/2015,"Ind Dist Net Operator, Victoria Road, Hebden Bridge, HX7 8JX",The Electricity Network Company Ltd,46.46,76560744,96
,01/07/2015,"Unit G6a, Tenterfields Business Park, Luddendenfoot, Halifax             HX2 6EQ",I J M Construction Ltd,0,64448779,3600
,01/09/2015,"19 Clare Road, Halifax, HX1 2HX",,3727.5,64584776,7500
,01/06/2014,"228/230 Queens Road, Halifax, HX1 4NE",,4274.2,68308738,8600
,01/07/2015,"Units 1A & 1B, Brier Hey, Burnley Road, Mytholmroyd          HX7 5PF",Junamoon Ltd,1803.48,76068702,8600
,13/10/2015,"Unit B7, Tenterfield Business Park, Luddendenfoot, Halifax             HX2 6EQ",Vama Kitchens Ltd,2081.2,64448712,4300
"Stansfield Hall Nurserycottage, Stansfield Hall Road, Todmorden, Lancs, OL14 8BQ",04/12/2015,"Unit 14 First Floor, The Town Hall, St George's Street, Hebden Bridge        HX7 7BY",John Macklin Ltd,0,76500760,2800
,01/04/2015,"Unit 3, Kirklees Steelworks, Grove Street, Brighouse            HD6 1PL",,0,29284742,4750
,18/12/2015,"259 King Cross Road, Halifax, HX1 3JL",,3876.6,65516259,7800
"Office Suite D151, Dean Clough Mills, Halifax, HX3 5AX",09/02/2016,"Office Suite D151, Dean Clough Mills, Halifax, HX3 5AX",Knapton And Knapton Ltd,1132.67,64784890,7800
,01/07/2015,"79 Catherine Street, Elland, HX5 0JB",,0,56032705,2300
"Fountain Chambers, Fountain Street, Halifax, HX1 1LW",01/10/2015,"Office 2 Lower Gf, Croft Myl, West Parade, Halifax              HX1 2EQ",Circuit Electrical Testing Ltd,0,69360767,690
,13/06/2014,"66 Saddleworth Road, Greetland, Halifax, HX4 8AG",,0,68444772,2800
"Suite 8, Craggs Country Business Park, New Road, Cragg Vale, Hebden Bridge, HX7 5TT",01/10/2014,"Suite 8 Craggs Country B/Pk, New Road, Cragg Vale, Hebden Bridge        HX7 5TT",Revilo Capital Ltd,0,76400728,1950
,11/07/2014,"Offices 1/2, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",Nest-Egg Developments Ltd,0,56020717,2000
,11/07/2014,"Suite 1, The Wellbeing Centre, 2 Briggate, Elland               HX5 9DP",,617.1,56020723,1275
,10/03/2015,"First Floor, 5 Carlton Place, Halifax, HX1 2SB",,1372.22,64484705,8100
